산업단지,입주(개사),가동(개사),생산실적(억원),수출실적(백만달러),고용(명),남(명),여(명)
서울,10541,9244,9632,208,145938,102243,43695
녹산,1500,1404,7843,193,32700,25973,6727
대구,175,40,613,8,2560,2078,482
남동,6796,6600,20897,293,103298,78549,24749
부평,913,912,3430,47,13778,8970,4808
주안,759,759,4054,106,15549,11308,4241
광주첨단,935,700,5045,359,19148,11367,7781
빛그린,2,0,0,0,0,0,0
온산,362,301,37144,1342,15911,14236,1675
울산ㆍ미포,896,756,95020,3795,95305,87754,7551
반월,7108,6832,34305,475,122820,95011,27809
시화,11253,10684,39865,431,129522,102540,26982
시화MTV,870,779,2923,38,11846,9338,2508
파주출판,442,298,257,2,4984,2881,2103
파주탄현,44,41,59,0,394,270,124
북평,40,25,31,0,664,577,87
오송생명과학,65,59,1322,26,3925,2522,1403
석문,94,38,383,5,418,363,55
아산,404,372,12147,243,16589,14209,2380
장항생태,2,0,0,0,0,0,0
국가식품클러스터,95,25,7,0,237,145,92
국가식품클러스터(외),1,1,0,0,12,7,5
군산,193,148,2265,68,4306,3871,435
군산2,507,373,2989,32,5250,4453,797
익산,202,189,2982,16,3525,2209,1316
광양,156,138,13390,560,11998,11509,489
대불,300,250,1125,8,4583,3930,653
대불(외국인),30,26,141,0,1384,1206,178
여수,295,261,77555,2685,22713,21427,1286
구미,2275,1945,33199,2029,90546,69802,20744
구미(외),23,20,1526,58,3967,3290,677
포항,107,94,13459,448,11130,10629,501
포항블루밸리,0,0,0,0,0,0,0
경남항공,0,0,0,0,0,0,0
안정,10,5,x,x,x,x,x
진해,3,3,x,x,x,x,x
창원,2747,2564,45622,1321,126933,112251,14682
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
