주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명,
138-1-000001,해운대구청 주변 공영,공영,노상,부산광역시 해운대구 중동1로 37번길 일원,부산광역시 해운대구 중1동 1372-3번지 일원,27,1,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,10,500,10,500,300,15000,,현금+카드,,부산광역시 해운대구,051-749-4555,35.1617554732,129.162538632,2018-08-10,3330000,부산광역시 해운대구,
138-1-000002,송정호안도로 A,공영,노상,부산광역시 해운대구 송정동 288-44번지 일원,부산광역시 해운대구 송정동 288-44번지 일원,100,2,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,300,10,300,270,8000,,현금+카드,7월~8월 한시적유료운영,부산광역시 해운대구,051-749-4555,35.1805317426,129.205095288,2018-08-10,3330000,부산광역시 해운대구,
138-1-000003,송정호안도로 B,공영,노상,"부산광역시 해운대구 송정동288-44, 45번지 일원","부산광역시 해운대구 송정동288-44, 45번지 일원",119,2,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,300,10,300,270,8000,,현금+카드,7월~8월 한시적유료운영,부산광역시 해운대구,051-749-4555,35.1805317426,129.205095288,2018-08-10,3330000,부산광역시 해운대구,
138-1-000004,송정 광어골,공영,노상,부산광역시 해운대구 송정동 462번지 일원,부산광역시 해운대구 송정동 462번지 일원,85,2,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,300,10,300,270,8000,,현금+카드,7월~8월 한시적유료운영,부산광역시 해운대구,051-749-4555,35.1755797426,129.196137531,2018-08-10,3330000,부산광역시 해운대구,
138-1-000005,해운대교육지원청주변공영,공영,노상,"부산광역시 해운대구 좌동 1290, 1407-6번지 일원","부산광역시 해운대구 좌동 1290, 1407-6번지 일원",35,2,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,10,300,10,300,270,8000,,현금+카드,,부산광역시 해운대구,051-749-4555,,,2018-08-10,3330000,부산광역시 해운대구,
138-1-000006,좌2동 노상공영,공영,노상,부산광역시 해운대구 좌동 1326번지,부산광역시 해운대구 좌동 1326번지,28,1,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,10,500,10,500,300,15000,,현금+카드,,부산광역시 해운대구,051-749-4555,35.1688594334,129.182462863,2018-08-10,3330000,부산광역시 해운대구,
138-2-000007,반여2동 제1공영,공영,노외,부산광역시 해운대구 재반로211번길 62 (반여동),부산광역시 해운대구 반여2동 1291-1509번지,274,4,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,100,10,100,240,2400,,현금+카드,,부산광역시 해운대구,051-749-4555,35.1957168456,129.127391591,2018-08-10,3330000,부산광역시 해운대구,
138-2-000008,반여2동 제2공영,공영,노외,부산광역시 해운대구 재반로184번길 31 (반여동),부산광역시 해운대구 반여2동 1291-940번지,235,4,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,100,10,100,240,2400,,현금+카드,,부산광역시 해운대구,051-749-4555,35.1942462109,129.132306402,2018-08-10,3330000,부산광역시 해운대구,
138-2-000009,반여3동 제2공영,공영,노외,부산광역시 해운대구 재반로282번길 5 (반여동),부산광역시 해운대구 반여3동 1575-93번지,130,4,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,100,10,100,240,2400,,현금+카드,,부산광역시 해운대구,051-749-4555,35.2027733143,129.131971634,2018-08-10,3330000,부산광역시 해운대구,
138-2-000010,반송1동 제1공영,공영,노외,부산광역시 해운대구 반송순환로 24 (반송동),부산광역시 해운대구 반송1동 745-13번지,304,4,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,100,10,100,240,2400,,현금+카드,,부산광역시 해운대구,051-749-4555,35.2208145928,129.146627033,2018-08-10,3330000,부산광역시 해운대구,
138-2-000011,반송1동 제2공영,공영,노외,부산광역시 해운대구 반송순환로 164 (반송동),부산광역시 해운대구 반송1동 259-86번지,154,4,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,100,10,100,240,2400,,현금+카드,,부산광역시 해운대구,051-749-4555,35.2249777554,129.151502846,2018-08-10,3330000,부산광역시 해운대구,
138-2-000012,좌1동 공영주차장,공영,노외,부산광역시 해운대구 좌1동 1461-2번지,부산광역시 해운대구 좌1동 1461-2번지,72,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,500,10,500,300,15000,,현금+카드,,부산광역시 해운대구,051-749-4555,35.1719781605,129.175408329,2018-08-10,3330000,부산광역시 해운대구,
138-2-000013,대우1차아파트 앞 공영,공영,노외,부산광역시 해운대구 좌2동 1486-2번지,부산광역시 해운대구 좌2동 1486-2번지,78,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,500,10,500,300,15000,,현금+카드,,부산광역시 해운대구,051-749-4555,35.1676477044,129.178492979,2018-08-10,3330000,부산광역시 해운대구,
138-2-000014,두산위브 뒤 공영,공영,노외,부산광역시 해운대구 좌2동 1474번지,부산광역시 해운대구 좌2동 1474번지,46,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,10,300,10,300,300,15000,,현금+카드,,부산광역시 해운대구,051-749-4555,35.1677433495,129.175980271,2018-08-10,3330000,부산광역시 해운대구,
