시간대,요일,발생건수,사망자수,부상자수,중상,경상,부상신고
00시-02시,일,1008,27,1698,417,1178,103
00시-02시,월,579,13,840,221,560,59
00시-02시,화,570,11,918,217,627,74
00시-02시,수,1700,31,2606,615,1848,143
00시-02시,목,598,11,886,228,597,61
00시-02시,금,1500,26,2143,522,1486,135
00시-02시,토,1177,18,1812,433,1252,127
02시-04시,일,1926,34,3119,743,2169,207
02시-04시,월,2386,46,3556,876,2435,245
02시-04시,화,1605,27,2388,601,1615,172
02시-04시,수,1106,15,1741,423,1200,118
02시-04시,목,2231,52,3266,803,2260,203
02시-04시,금,2581,43,3738,903,2533,302
02시-04시,토,1958,44,3212,672,2290,250
04시-06시,일,1851,43,2983,724,2078,181
04시-06시,월,1841,36,2636,638,1787,211
04시-06시,화,2242,33,3229,844,2212,173
04시-06시,수,2222,43,3517,860,2432,225
04시-06시,목,1569,32,2476,589,1701,186
04시-06시,금,1209,25,1902,453,1326,123
04시-06시,토,2299,50,3685,866,2598,221
06시-08시,일,905,21,1534,329,1103,102
06시-08시,월,2285,40,3363,833,2319,211
06시-08시,화,2244,48,3296,778,2286,232
06시-08시,수,1954,25,2799,688,1934,177
06시-08시,목,2365,41,3412,841,2348,223
06시-08시,금,2314,46,3466,806,2427,233
06시-08시,토,1623,34,2773,654,1925,194
08시-10시,일,1773,31,3048,679,2137,232
08시-10시,월,1538,41,2206,590,1465,151
08시-10시,화,1131,26,1627,379,1129,119
08시-10시,수,2381,41,3439,858,2400,181
08시-10시,목,2336,33,3335,867,2288,180
08시-10시,금,2011,37,2910,699,2012,199
08시-10시,토,2561,49,4119,905,2952,262
10시-12시,일,1526,28,2419,576,1664,179
10시-12시,월,2376,51,3435,812,2393,230
10시-12시,화,2383,45,3372,878,2291,203
10시-12시,수,1677,34,2432,620,1624,188
10시-12시,목,1261,24,1801,412,1282,107
10시-12시,금,2623,52,3758,885,2641,232
10시-12시,토,2444,41,3827,872,2693,262
12시-14시,일,1890,38,3051,710,2146,195
12시-14시,월,2292,41,3203,818,2174,211
12시-14시,화,1762,38,2530,628,1729,173
12시-14시,수,2480,50,3549,895,2432,222
12시-14시,목,2305,37,3316,854,2245,217
12시-14시,금,1930,32,2878,695,1981,202
12시-14시,토,1195,17,1839,441,1255,143
14시-16시,일,1459,37,2320,563,1585,172
14시-16시,월,1327,27,1970,471,1386,113
14시-16시,화,2316,53,3410,819,2382,209
14시-16시,수,2482,37,3419,895,2316,208
14시-16시,목,1949,45,2722,706,1827,189
14시-16시,금,2537,40,3560,911,2406,243
14시-16시,토,2463,48,3836,910,2682,244
16시-18시,일,2018,40,3347,718,2397,232
16시-18시,월,2456,52,3565,924,2406,235
16시-18시,화,1831,45,2645,666,1791,188
16시-18시,수,1200,16,1749,438,1200,111
16시-18시,목,2354,52,3318,811,2282,225
16시-18시,금,2588,42,3745,951,2561,233
16시-18시,토,1924,28,2938,707,2010,221
18시-20시,일,1902,35,3066,648,2205,213
18시-20시,월,1946,38,2759,687,1901,171
18시-20시,화,2311,45,3365,802,2351,212
18시-20시,수,2472,49,3490,912,2366,212
18시-20시,목,1862,45,2591,680,1752,159
18시-20시,금,1319,25,1890,449,1310,131
18시-20시,토,2418,57,3922,962,2673,287
20시-22시,일,1044,22,1677,408,1168,101
20시-22시,월,2417,44,3454,849,2358,247
20시-22시,화,2305,50,3338,879,2256,203
20시-22시,수,1970,32,2839,611,2054,174
20시-22시,목,2514,53,3652,889,2522,241
20시-22시,금,2618,61,3771,967,2531,273
20시-22시,토,1909,38,3106,721,2177,208
22시-24시,일,2013,49,3300,688,2369,243
22시-24시,월,2023,36,2883,703,1987,193
22시-24시,화,1256,29,1806,438,1236,132
22시-24시,수,2478,53,3564,827,2530,207
22시-24시,목,2412,41,3446,872,2337,237
22시-24시,금,2210,47,3117,772,2156,189
22시-24시,토,2697,54,4325,1003,3013,309
