기준년월,	HSK품목코드,	수출입구분코드,	수산물수출입품목명,	HSK품목대분류,	HSK품목중분류,	HSK품목소분류,	수출입구분명,	당월 수출입중량,	당월 수출입미화금액,	당해 누계 수출입중량,	당해 누계 수출입미화금액,	데이터기준일자	
'201805','0106903010','E','갯지렁이','0106','90','3010','수출','51','2534','203','9972','2018-06-30'
'201805','0301190000','E','기타(활어)(민물의 것)','0301','19','0000','수출','0','0','10','2750','2018-06-30'
'201805','0301929090','E','뱀장어(앵궐라종)','0301','92','9090','수출','0','0','10','944','2018-06-30'
'201805','0301992000','E','방어(활어)','0301','99','2000','수출','0','0','20','479','2018-06-30'
'201805','0301994010','E','돔(양식용 치어)','0301','99','4010','수출','20','915','20','915','2018-06-30'
'201805','0301994090','E','돔(기타)','0301','99','4090','수출','322','6053','1338','24824','2018-06-30'
'201805','0301995000','E','붕장어(활어)','0301','99','5000','수출','136005','1867506','696088','9591367','2018-06-30'
'201805','0301996000','E','갯장어(sharp toothed eel/활어)','0301','99','6000','수출','3646','109973','7830','166334','2018-06-30'
'201805','0301998000','E','넙치(활어)','0301','99','8000','수출','169526','3025061','888577','15619869','2018-06-30'
'201805','0301999020','E','복어(활어)','0301','99','9020','수출','0','0','446','12895','2018-06-30'
'201805','0301999040','E','볼락(적어포함/활어)','0301','99','9040','수출','72','2080','7612','72748','2018-06-30'
'201805','0301999060','E','숭어(활어)','0301','99','9060','수출','5','126','11905','162469','2018-06-30'
'201805','0301999070','E','미꾸라지(활어)','0301','99','9070','수출','154','3268','664','11696','2018-06-30'
'201805','0301999095','E','민어(활어)','0301','99','9095','수출','0','0','3','49','2018-06-30'
'201805','0301999099','E','기타어류(활어)','0301','99','9099','수출','287','52852','22608','143155','2018-06-30'
'201805','0302111000','E','송어(살모 트루타옹코링쿠스(미키스클라키아구아보니타길래))','0302','11','1000','수출','0','0','252','6937','2018-06-30'
'201805','0302140000','E','대서양 연어(신선 또는 냉장)(살모 살라) 및 다뉴브 연어(후코 후코)','0302','14','0000','수출','975','21695','4038','87664','2018-06-30'
'201805','0302190000','E','연어(송어태평양연어 기타/간장어란/신선냉장어육제외)','0302','19','0000','수출','77','1246','403','5960','2018-06-30'
'201805','0302210000','E','넙치(간장 어란제외/신선 냉장/피레트 어육제외)','0302','21','0000','수출','128644','631298','258795','2285106','2018-06-30'
'201805','0302220000','E','가자미(간장 어란제외/신선 냉장/피레트어육제외)','0302','22','0000','수출','4380','7768','14020','32386','2018-06-30'
'201805','0302290000','E','기타 넙치류(간장 어란제외/신선 냉장/피레트 어육제외)','0302','29','0000','수출','1104','14764','12530','96138','2018-06-30'
'201805','0302352000','E','태평양 참다랑어(신선 또는 냉장)(터너스 오리엔탈리스)','0302','35','2000','수출','0','0','4027','21764','2018-06-30'
'201805','0302360000','E','남방참다랑어(터너스 맥코이/신선냉장)','0302','36','0000','수출','0','0','8151','53634','2018-06-30'
'201805','0302390000','E','기타(신선냉장)','0302','39','0000','수출','0','0','316384','1895493','2018-06-30'
'201805','0302410000','E','청어(신선 또는 냉장)(클루페아 하렌구스클루페아 팔라시)','0302','41','0000','수출','18240','8927','205206','93958','2018-06-30'
'201805','0302420000','E','멸치(신선 또는 냉장)(엔그라울리스종)','0302','42','0000','수출','30','323','65','749','2018-06-30'
'201805','0302430000','E','정어리(신선 또는 냉장)(사르디나 필차르두스사르디노프스종)','0302','43','0000','수출','0','0','870','696','2018-06-30'
'201805','0302440000','E','고등어(신선 또는 냉장)(스콤버-스콤브루스오스트랄시쿠스자포니쿠스))','0302','44','0000','수출','1329','13501','4706','44852','2018-06-30'
