휴게소명,도로종류,도로노선번호,도로노선명,도로노선방향,위도,경도,휴게소종류,휴게소운영시작시각,휴게소운영종료시각,도로점용면적,주차면수,경정비가능여부,주유소유무,LPG충전소유무,전기차충전소유무,버스환승가능여부,쉼터유무,화장실유무,약국유무,수유실유무,매점유무,음식점유무,기타편의시설,휴게소대표음식명,휴게소전화번호,데이터기준일자,제공기관코드,제공기관명,
강릉(강릉),고속국도,50,영동선,,37.757335,128.806812,일반휴게소,00:00,24:00,85218,,,Y,,,N,,Y,,,Y,Y,,,033-648-8850,2017-11-14,B500004,한국도로공사,
강릉(서창),고속국도,50,영동선,,37.759783,128.805198,일반휴게소,00:00,24:00,71026,,,Y,,,N,,Y,,,Y,Y,,,033-647-9970,2017-11-14,B500004,한국도로공사,
강천산(광주),고속국도,12,광주대구선,,35.365439,127.104700,일반휴게소,00:00,24:00,17767,,,Y,,,N,,Y,,,Y,Y,,,063-653-4033,2017-11-14,B500004,한국도로공사,
강천산(대구),고속국도,12,광주대구선,,35.364257,127.104760,간이휴게소,00:00,24:00,12365,,,Y,,,N,,Y,,,Y,Y,,,063-653-3050,2017-11-14,B500004,한국도로공사,
거창(광주),고속국도,12,광주대구선,,35.708840,128.057895,일반휴게소,00:00,24:00,56462,,,Y,,,N,,Y,,,Y,Y,,,055-943-9534,2017-11-14,B500004,한국도로공사,
거창(대구),고속국도,12,광주대구선,,35.706283,128.056970,일반휴게소,00:00,24:00,56462,,,Y,,,N,,Y,,,Y,Y,,,055-943-0992,2017-11-14,B500004,한국도로공사,
건천(부산),고속국도,1,경부선,,35.829979,129.109259,간이휴게소,00:00,24:00,13041,,,Y,,,N,,Y,,,Y,Y,,,054-751-6890,2017-11-14,B500004,한국도로공사,
건천(서울),고속국도,1,경부선,,35.831870,129.109280,일반휴게소,00:00,24:00,23174,,,Y,,,N,,Y,,,Y,Y,,,054-751-7401,2017-11-14,B500004,한국도로공사,
경산(서울),고속국도,1,경부선,,35.879132,128.810307,일반휴게소,00:00,24:00,40171,,,Y,,,N,,Y,,,Y,Y,,,053-852-5243,2017-11-14,B500004,한국도로공사,
경주(부산),고속국도,1,경부선,,35.724104,129.192617,화물차휴게소,00:00,24:00,72848,,,Y,,,N,,Y,,,Y,Y,,,054-748-3195,2017-11-14,B500004,한국도로공사,
고성(통영),고속국도,35,중부선,,35.051775,128.262771,화물차휴게소,00:00,24:00,42488,,,Y,,,N,,Y,,,Y,Y,,,055-674-7028,2017-11-14,B500004,한국도로공사,
고성(하남),고속국도,35,중부선,,35.056663,128.252380,일반휴게소,00:00,24:00,50422,,,Y,,,N,,Y,,,Y,Y,,,055-674-0494,2017-11-14,B500004,한국도로공사,
고창고인돌(무안),고속국도,15,서해안선,,35.468501,126.673791,일반휴게소,00:00,24:00,52451,,,Y,,,N,,Y,,,Y,Y,,,063-561-6313,2017-11-14,B500004,한국도로공사,
고창고인돌(서울),고속국도,15,서해안선,,35.461891,126.673420,일반휴게소,00:00,24:00,114191,,,Y,,,N,,Y,,,Y,Y,,,063-561-6323,2017-11-14,B500004,한국도로공사,
곡성(순천),고속국도,25,호남선,,35.258318,127.150734,일반휴게소,00:00,24:00,16137,,,Y,,,N,,Y,,,Y,Y,,,061-363-2766,2017-11-14,B500004,한국도로공사,
곡성(천안),고속국도,25,호남선,,35.259604,127.152748,일반휴게소,00:00,24:00,24680,,,Y,,,N,,Y,,,Y,Y,,,061-362-8300,2017-11-14,B500004,한국도로공사,
공주(당진),고속국도,30,당진영덕선,,36.498545,127.164987,일반휴게소,00:00,24:00,52144,,,Y,,,N,,Y,,,Y,Y,,,041-854-0050,2017-11-14,B500004,한국도로공사,
공주(영덕),고속국도,30,당진영덕선,,36.496802,127.166647,일반휴게소,00:00,24:00,49748,,,Y,,,N,,Y,,,Y,Y,,,041-854-6060,2017-11-14,B500004,한국도로공사,
괴산(마산),고속국도,45,중부내륙선,,36.831338,127.957852,일반휴게소,00:00,24:00,37162,,,Y,,,N,,Y,,,Y,Y,,,043-832-7966,2017-11-14,B500004,한국도로공사,
괴산(양평),고속국도,45,중부내륙선,,36.831778,127.960164,일반휴게소,00:00,24:00,38776,,,Y,,,N,,Y,,,Y,Y,,,043-832-6594,2017-11-14,B500004,한국도로공사,
구리(일산),고속국도,100,서울외곽선,,37.627969,127.139558,간이휴게소,00:00,24:00,19500,,,N,,,N,,Y,,,Y,Y,,,031-529-3564,2017-11-14,B500004,한국도로공사,
구정(동해),고속국도,65,동해선,,37.722128,128.851186,일반휴게소,00:00,24:00,41920,,,Y,,,N,,Y,,,Y,Y,,,033-644-8345,2017-11-14,B500004,한국도로공사,
구정(속초),고속국도,65,동해선,,37.722936,128.854249,일반휴게소,00:00,24:00,52345,,,Y,,,N,,Y,,,Y,Y,,,033-644-4760,2017-11-14,B500004,한국도로공사,
군산(무안),고속국도,15,서해안선,,35.980573,126.828995,일반휴게소,00:00,24:00,14071,,,Y,,,N,,Y,,,Y,Y,,,063-453-0402,2017-11-14,B500004,한국도로공사,
군산(서울),고속국도,15,서해안선,,36.018826,126.797720,일반휴게소,00:00,24:00,50249,,,Y,,,N,,Y,,,Y,Y,,,063-453-2868,2017-11-14,B500004,한국도로공사,
군위(부산),고속국도,55,중앙선,,36.266554,128.574874,일반휴게소,00:00,24:00,36839,,,Y,,,N,,Y,,,Y,Y,,,054-383-6114,2017-11-14,B500004,한국도로공사,
군위(춘천),고속국도,55,중앙선,,36.265489,128.576929,일반휴게소,00:00,24:00,39273,,,Y,,,N,,Y,,,Y,Y,,,054-383-7114,2017-11-14,B500004,한국도로공사,
금강(부산),고속국도,1,경부선,,36.278964,127.672122,일반휴게소,00:00,24:00,17409,,,Y,,,N,,Y,,,Y,Y,,,043-731-2233,2017-11-14,B500004,한국도로공사,
금왕(충주),고속국도,40,평택제천선,,36.969237,127.590783,간이휴게소,00:00,24:00,42829,,,Y,,,N,,Y,,,Y,Y,,,043-881-0001,2017-11-14,B500004,한국도로공사,
금왕(평택),고속국도,40,평택제천선,,36.970563,127.589485,간이휴게소,00:00,24:00,42627,,,Y,,,N,,Y,,,Y,Y,,,043-877-7000,2017-11-14,B500004,한국도로공사,
기흥(부산),고속국도,1,경부선,,37.234920,127.104561,일반휴게소,00:00,24:00,72615,,,Y,,,N,,Y,,,Y,Y,,,031-286-5001,2017-11-14,B500004,한국도로공사,
김천(부산),고속국도,1,경부선,,36.129147,128.164838,화물차휴게소,00:00,24:00,45224,,,Y,,,N,,Y,,,Y,Y,,,054-435-0211,2017-11-14,B500004,한국도로공사,
김천(서울),고속국도,1,경부선,,36.130949,128.164007,화물차휴게소,00:00,24:00,30577,,,Y,,,N,,Y,,,Y,Y,,,054-433-1523,2017-11-14,B500004,한국도로공사,
남성주(양평),고속국도,45,중부내륙선,,35.858022,128.319852,일반휴게소,00:00,24:00,39978,,,Y,,,N,,Y,,,Y,Y,,,054-931-5741,2017-11-14,B500004,한국도로공사,
남성주(창원),고속국도,45,중부내륙선,,35.868788,128.316551,일반휴게소,00:00,24:00,38447,,,Y,,,N,,Y,,,Y,Y,,,054-933-7105,2017-11-14,B500004,한국도로공사,
내린천,고속국도,60,서울양양선,,37.916347,128.286365,일반휴게소,00:00,24:00,88867,,,Y,,,N,,Y,,,Y,Y,,,033-852-8619,2017-11-14,B500004,한국도로공사,
논공(광주),고속국도,12,광주대구선,,35.767411,128.403518,일반휴게소,00:00,24:00,29234,,,Y,,,N,,Y,,,Y,Y,,,070-4304-0600,2017-11-14,B500004,한국도로공사,
논공(대구),고속국도,12,광주대구선,,35.764803,128.402881,일반휴게소,00:00,24:00,37766,,,Y,,,N,,Y,,,Y,Y,,,070-4304-0620,2017-11-14,B500004,한국도로공사,
단양(부산),고속국도,55,중앙선,,36.995398,128.287629,일반휴게소,00:00,24:00,31481,,,Y,,,N,,Y,,,Y,Y,,,043-423-5401,2017-11-14,B500004,한국도로공사,
