지진해일대피소명,지진해일대피소구분,지진해일대피소유형,지진해일대피소유형구분,소재지도로명주소,소재지지번주소,위도,경도,수용가능면적,최대수용인원수,지진해일대피소운영상태,지진해일대피소전화번호,부대편의시설,주민대피지구명,주민대피지구내가구수,주민대피지구내거주인수,주민대피지구내재해약자수,내진적용여부,내진설계등급,해안선이격거리,해발높이,지진대피안내표지판수,긴급대피장소안내표지판수,지진대피로안내표지판수,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명,
교문중학교,지진대피소,옥외대피소,학교,경기도 구리시 장자대로37번길15,,37.588469,127.133618,4130,300,Y,031-553-4890,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 구리시청,,2018-08-01,3980000,경기도 구리시,
교문초등학교,지진대피소,옥외대피소,학교,경기도 구리시 안골로19번길 16,,37.598212,127.133653,2772,1000,Y,031-569-7159,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 구리시청,,2018-08-01,3980000,경기도 구리시,
구리체육관,지진대피소,실내대피소,체육관,경기도 구리시 체육관로 131,,37.596004,127.136447,990,300,Y,031-550-2591,,별도 지구지정사항 없음,,,,적용,,,,,,,경기도 구리시청,,2018-08-01,3980000,경기도 구리시,
구리초등학교,지진대피소,옥외대피소,학교,경기도 구리시 경춘로276번길 51,,37.601215,127.147694,4069,300,Y,031-551-0546,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 구리시청,,2018-08-01,3980000,경기도 구리시,
구지초등학교,지진대피소,옥외대피소,학교,경기도 구리시 건원대로76번길 40,,37.607233,127.142221,6782,400,Y,031-562-8555,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 구리시청,,2018-08-01,3980000,경기도 구리시,
내동마을회관,지진대피소,실내대피소,기타,경기도 구리시 동구릉로389번길 58-9,,37.633113,127.138847,132,60,Y,031-550-2141,,별도 지구지정사항 없음,,,,적용,,,,,,,경기도 구리시청,,2018-08-01,3980000,경기도 구리시,
백문초등학교,지진대피소,옥외대피소,학교,경기도 구리시 장자대로13번길 12,,37.588485,127.132861,2452,300,Y,031-551-0271,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 구리시청,,2018-08-01,3980000,경기도 구리시,
삼보경로당,지진대피소,실내대피소,기타,경기도 구리시 건원대로 56,,37.606514,127.140583,476,50,Y,031-557-8947,,별도 지구지정사항 없음,,,,적용,,,,,,,경기도 구리시청,,2018-08-01,3980000,경기도 구리시,
수택초등학교,지진대피소,실내대피소,학교,경기도 구리시 검배로136번길 41,,37.591876,127.152449,198,50,Y,031-564-4160,,별도 지구지정사항 없음,,,,적용,,,,,,,경기도 구리시청,,2018-08-01,3980000,경기도 구리시,
인창초등학교,지진대피소,옥외대피소,학교,경기도 구리시 동구릉로37-13,,37.604649,127.131515,9190,850,Y,031-551-0358,,별도 지구지정사항 없음,,,,미적용,,,,,,,경기도 구리시청,,2018-08-01,3980000,경기도 구리시,
