야영(캠핑)장명,야영(캠핑)장구분,위도,경도,소재지도로명주소,소재지지번주소,야영장전화번호,야영사이트수,부지면적,건축연면적,1일최대수용인원수,주차장면수,편의시설,안전시설,기타부대시설,이용시간,이용요금,관리기관전화번호,관리기관명,데이터기준일자,
대왕암공원 캠핑장,자동차야영장,35.487544,129.438832,울산광역시 동구 등대로 80-61,울산광역시 동구 일산동 909-1,052.209.4530,53,13000,360,318,70,전기시설+샤워장+세척장+화장실,소화기,카라반 17동,당일 14:00~익일 11:00,"오토캠핑장 : 주중 20,000원 주말 25,000원 카라반 : 주중 110,000원 주말 130,000원",052.209.3750,울산광역시 동구청,2018-01-01,
해바라기 캠핑장,야영장,36.571179,127.975200,경상북도 문경시 농암면 청화로 695,경상북도 문경시 농암면 내서리 239-1,000-0000-0000,33,,,132,,상하수도시설+ 전기시설+ 화장실+ 샤워실,소화기+ 확성기+ 안전게시물+ 관리요원,,,,054-550-6397,경상북도 문경시청,2018-02-20,
숲이조아캠핑장,야영장,36.565976,127.989841,경상북도 문경시 농암면 청화로 886-128,경상북도 문경시 농암면 율수리 318-4,000-0000-0000,73,,,200,,상하수도시설+ 전기시설+ 화장실+ 샤워실+ 취사시설,소화기+ 확성기+ 안전게시물+ 관리요원,,,,054-550-6397,경상북도 문경시청,2018-02-20,
잉카마야 캠핑장,야영장,36.611877,128.025307,경상북도 문경시 가은읍 전곡길 13-10,경상북도 문경시 가은읍 전곡리 288-2,000-0000-0000,15,,,120,,하수도시설+ 취사시설+ 화장실+ 전기시설,소화기+ 확성기+ 안전게시물+ 관리요원,,,,054-550-6397,경상북도 문경시청,2018-02-20,
문경새재여가캠핑장,야영장,36.754749,128.074516,,경상북도 문경시 문경읍 하초리 367,000-0000-0000,16,,,64,,하수도시설+ 취사시설+ 화장실+ 전기시설,소화기+ 확성기+ 안전게시물+ 관리요원,,,,054-550-6397,경상북도 문경시청,2018-02-20,
불정자연휴양림캠핑장,야영장,36.620451,128.135399,경상북도 문경시 불정길 180,경상북도 문경시 불정동 339-8,000-0000-0000,14,,,100,,상하수도시설+ 전기시설+ 화장실+ 샤워실+ 취사시설,소화기+ 확성기+ 안전게시물+ 관리요원,,,,054-550-6397,경상북도 문경시청,2018-02-20,
미산가족오토캠핑장,야영장,36.661201,128.106314,,경상북도 문경시 마성면 하내리 4-2,000-0000-0000,20,,,80,,하수도시설+ 취사시설+ 화장실+ 전기시설,소화기+ 확성기+ 안전게시물+ 관리요원,,,,054-550-6397,경상북도 문경시청,2018-02-20,
문경히든벨리오토캠핑장,야영장,36.649230,127.990940,경상북도 문경시 가은읍 죽문길 271,경상북도 문경시 가은읍 죽문리 441-2,000-0000-0000,20,,,100,,상하수도시설+ 전기시설+ 화장실+ 샤워실+ 취사시설,소화기+ 확성기+ 안전게시물+ 관리요원,,,,054-550-6397,경상북도 문경시청,2018-02-20,
구암농원,자동차야영장,37.673781,127.3750699,경기도 남양주시 -,경기도 남양주시 화도읍 구암리 8-2번지,031-559-7488,15,6075,79.2,45,15,-,-,-,24시,-,031-559-7488,민간,2017-04-27,
그리스톤캠핑장,야영장,36.683137,127.977517,경상북도 문경시 가은읍 완장리 351,경상북도 문경시 가은읍 완장길 103-63,000-0000-0000,16,,,64,,하수도시설+ 취사시설+ 화장실+ 전기시설,소화기+ 확성기+ 안전게시물+ 관리요원,,,,054-550-6397,경상북도 문경시청,2018-02-20,
