연번,구분,좌석종류,출발지,도착지,출발시간,요금(원),연락처
1,고속버스,우등,세종,서울 경부(강남),6:00,10000,"070-4904-3263, 070-7752-4780"
2,고속버스,우등,세종,서울 경부(강남),6:30,10000,"070-4904-3263, 070-7752-4780"
3,고속버스,일반,세종,서울 경부(강남),7:00,8300,"070-4904-3263, 070-7752-4780"
4,고속버스,우등,세종,서울 경부(강남),7:30,10000,"070-4904-3263, 070-7752-4780"
5,고속버스,우등,세종,서울 경부(강남),8:00,10000,"070-4904-3263, 070-7752-4780"
6,고속버스,일반,세종,서울 경부(강남),8:30,8300,"070-4904-3263, 070-7752-4780"
7,고속버스,우등,세종,서울 경부(강남),9:00,10000,"070-4904-3263, 070-7752-4780"
8,고속버스,우등,세종,서울 경부(강남),9:30,10000,"070-4904-3263, 070-7752-4780"
9,고속버스,우등,세종,서울 경부(강남),10:00,10000,"070-4904-3263, 070-7752-4780"
10,고속버스,우등,세종,서울 경부(강남),10:20,10000,"070-4904-3263, 070-7752-4780"
11,고속버스,일반,세종,서울 경부(강남),10:40,8300,"070-4904-3263, 070-7752-4780"
12,고속버스,우등,세종,서울 경부(강남),11:00,10000,"070-4904-3263, 070-7752-4780"
13,고속버스,우등,세종,서울 경부(강남),11:30,10000,"070-4904-3263, 070-7752-4780"
14,고속버스,일반,세종,서울 경부(강남),12:00,8300,"070-4904-3263, 070-7752-4780"
15,고속버스,우등,세종,서울 경부(강남),12:30,10000,"070-4904-3263, 070-7752-4780"
16,고속버스,우등,세종,서울 경부(강남),13:00,10000,"070-4904-3263, 070-7752-4780"
17,고속버스,우등,세종,서울 경부(강남),13:20,10000,"070-4904-3263, 070-7752-4780"
18,고속버스,우등,세종,서울 경부(강남),13:40,10000,"070-4904-3263, 070-7752-4780"
19,고속버스,일반,세종,서울 경부(강남),14:00,8300,"070-4904-3263, 070-7752-4780"
20,고속버스,우등,세종,서울 경부(강남),14:30,10000,"070-4904-3263, 070-7752-4780"
21,고속버스,우등,세종,서울 경부(강남),15:00,10000,"070-4904-3263, 070-7752-4780"
22,고속버스,일반,세종,서울 경부(강남),15:30,8300,"070-4904-3263, 070-7752-4780"
23,고속버스,우등,세종,서울 경부(강남),16:00,10000,"070-4904-3263, 070-7752-4780"
24,고속버스,일반,세종,부산(노포),7:00,17000,"070-4904-3263, 070-7752-4780"
25,고속버스,우등,세종,부산(노포),9:00,25100,"070-4904-3263, 070-7752-4780"
26,고속버스,우등,세종,부산(노포),12:00,25100,"070-4904-3263, 070-7752-4780"
27,고속버스,일반,세종,부산(노포),13:50,17000,"070-4904-3263, 070-7752-4780"
28,고속버스,우등,세종,부산(노포),15:40,25100,"070-4904-3263, 070-7752-4780"
29,고속버스,일반,세종,부산(노포),17:20,17000,"070-4904-3263, 070-7752-4780"
30,고속버스,우등,세종,부산(노포),18:30,25100,"070-4904-3263, 070-7752-4780"
31,고속버스,우등,세종,서부산(사상),7:30,24800,"070-4904-3263, 070-7752-4780"
