설치장소명,설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명,
청송군청,민원실,경상북도,청송군,관공서,KT,Public WiFi Free,2014-12,경상북도 청송군 청송읍 군청로 51(월막리 330),경상북도 청송군 청송읍 월막리 330,경상북도 청송군청,054-870-6073,36.4360412,129.0398308,2018-08-01,5160000,경상북도 청송군,
청송군농업기술센터,"1층, 2층, 3층",경상북도,청송군,관공서,KT,Public WiFi Free,2015-10,경상북도 청송군 청송읍 주왕산로 177(송생리 720),경상북도 청송군 청송읍 송생리 720,경상북도 청송군청,054-870-6073,36.3917571,129.0642597,2018-08-01,5160000,경상북도 청송군,
청송읍사무소,민원실,경상북도,청송군,관공서,KT,Public WiFi Free,2014-12,경상북도 청송군 청송읍 중앙로 253(월막리 239-2),경상북도 청송군 청송읍 월막리 239-2,경상북도 청송군청,054-870-6073,36.4342522,129.0391317,2018-08-01,5160000,경상북도 청송군,
부동면사무소,민원실,경상북도,청송군,관공서,KT,Public WiFi Free,2013-09,경상북도 청송군 부동면 이전앞길 1(이전리 829-5),경상북도 청송군 부동면 이전리 829-5,경상북도 청송군청,054-870-6073,36.3568761,129.1417115,2018-08-01,5160000,경상북도 청송군,
부남면사무소,민원실,경상북도,청송군,관공서,KT,Public WiFi Free,2015-10,경상북도 청송군 부남면 대전로 119(대전리 638-2),경상북도 청송군 부남면 대전리 638-2,경상북도 청송군청,054-870-6073,36.3444557,129.0457709,2018-08-01,5160000,경상북도 청송군,
현동면사무소,민원실,경상북도,청송군,관공서,KT,Public WiFi Free,2015-10,경상북도 청송군 현동면 청송로 2647(도평리 794-1),경상북도 청송군 현동면 도평리 794-1,경상북도 청송군청,054-870-6073,36.2907256,128.999195,2018-08-01,5160000,경상북도 청송군,
현서면사무소,민원실,경상북도,청송군,관공서,KT,Public WiFi Free,2015-10,경상북도 청송군 현서면 구산동로 27(구산리 97-1),경상북도 청송군 현서면 구산리 97-1,경상북도 청송군청,054-870-6073,36.2760524,128.8781859,2018-08-01,5160000,경상북도 청송군,
안덕면사무소,민원실,경상북도,청송군,관공서,KT,Public WiFi Free,2015-10,경상북도 청송군 안덕면 안덕로 82(명당리 433-6),경상북도 청송군 안덕면 명당리 433-6,경상북도 청송군청,054-870-6073,36.2890575,128.9422691,2018-08-01,5160000,경상북도 청송군,
파천면사무소,민원실,경상북도,청송군,관공서,KT,Public WiFi Free,2015-10,경상북도 청송군 파천면 청송로 5544(관리 572-1),경상북도 청송군 파천면 관리 572-1,경상북도 청송군청,054-870-6073,36.4631044,129.0202975,2018-08-01,5160000,경상북도 청송군,
진보면사무소,민원실,경상북도,청송군,관공서,KT,Public WiFi Free,2014-12,경상북도 청송군 진보면 진안동2길 4-10(진안리 51-1),경상북도 청송군 진보면 진안리 51-1,경상북도 청송군청,054-870-6073,36.5294276,129.0292842,2018-08-01,5160000,경상북도 청송군,
청송군보건의료원,"민원실, 복도",경상북도,청송군,서민·복지시설,KT,Public WiFi Free,2014-12,경상북도 청송군 청송읍 의료원길 19(금곡리 1056-54),경상북도 청송군 청송읍 금곡리 1056-54,경상북도 청송군청,054-870-6073,36.4310928,129.0347228,2018-08-01,5160000,경상북도 청송군,
부동보건지소,민원실,경상북도,청송군,서민·복지시설,KT,Public WiFi Free,2015-10,경상북도 청송군 부동면 이전새마을길 13(이전리 950-3),경상북도 청송군 부동면 이전리 950-3,경상북도 청송군청,054-870-6073,36.3582175,129.1438929,2018-08-01,5160000,경상북도 청송군,
부남보건지소,민원실,경상북도,청송군,서민·복지시설,KT,Public WiFi Free,2015-10,경상북도 청송군 부남면 대전로 117(대전리 638-5),경상북도 청송군 부남면 대전리 638-5,경상북도 청송군청,054-870-6073,36.3444776,129.0461466,2018-08-01,5160000,경상북도 청송군,
현동보건지소,민원실,경상북도,청송군,서민·복지시설,KT,Public WiFi Free,2014-12,경상북도 청송군 현동면 도평1길 3(도평리 827-16),경상북도 청송군 현동면 도평리 827-16,경상북도 청송군청,054-870-6073,36.2902763,128.9976596,2018-08-01,5160000,경상북도 청송군,
현서보건지소,민원실,경상북도,청송군,서민·복지시설,KT,Public WiFi Free,2015-10,경상북도 청송군 현서면 구산북로 90(구산리 66-6),경상북도 청송군 현서면 구산리 66-6,경상북도 청송군청,054-870-6073,36.2780763,128.8782212,2018-08-01,5160000,경상북도 청송군,
안덕보건지소,민원실,경상북도,청송군,서민·복지시설,KT,Public WiFi Free,2015-10,경상북도 청송군 안덕면 안덕로 80(명당리 433-6),경상북도 청송군 안덕면 명당리 433-6,경상북도 청송군청,054-870-6073,36.2890575,128.9422691,2018-08-01,5160000,경상북도 청송군,
진보보건지소,민원실,경상북도,청송군,서민·복지시설,KT,Public WiFi Free,2014-12,경상북도 청송군 진보면 진보로 181(각산리 504-110),경상북도 청송군 진보면 각산리 504-110,경상북도 청송군청,054-870-6073,36.5294293,129.0336983,2018-08-01,5160000,경상북도 청송군,
청송군정보화교육센터,실내 전구역,경상북도,청송군,교육시설,KT,Public WiFi Free,2014-12,경상북도 청송군 청송읍 중앙로 253(월막리 239-2),경상북도 청송군 청송읍 월막리 239-2,경상북도 청송군청,054-870-6073,36.4342522,129.0391317,2018-08-01,5160000,경상북도 청송군,
청송군종합문화복지타운,실내 전구역,경상북도,청송군,서민·복지시설,KT,"CS_WIFI_1, CS_WIFI_2, CS_WIFI_3",2014-02,경상북도 청송군 청송읍 금월로 244-30(금곡리 813-2),경상북도 청송군 청송읍 금곡리 813-2,경상북도 청송군청,054-870-6564,36.5294293,129.0336983,2018-08-01,5160000,경상북도 청송군,
청송국민체육센터,"실내 전구역, 전면주차장",경상북도,청송군,기타,KT,"CS1_WiFi, CS2_WIFI",2016-04,경상북도 청송군 청송읍 중앙로 306-39(월막리 142),경상북도 청송군 청송읍 월막리 142,경상북도 청송군청,054-870-6572,36.4326678,129.0611343,2018-08-01,5160000,경상북도 청송군,
진보문화체육센터,"1층, 2층",경상북도,청송군,지역문화시설,KT,Public WiFi Free,2015-10,경상북도 청송군 진보면 진보로 187(각산리 508-9),경상북도 청송군 진보면 각산리 508-9,경상북도 청송군청,054-870-6073,36.5299248,129.0343158,2018-08-01,5160000,경상북도 청송군,
청송군노인여성회관,"1층, 2층, 3층",경상북도,청송군,서민·복지시설,KT,Public WiFi Free,2015-10,경상북도 청송군 청송읍 의료원길 28(금곡리 1056-31),경상북도 청송군 청송읍 금곡리 1056-31,경상북도 청송군청,054-870-6073,36.430918,129.0364524,2018-08-01,5160000,경상북도 청송군,
객주문학관,"전시관1층, 본관1층, 연수관2,3층",경상북도,청송군,지역문화시설,KT,"ART, GJ wi-fi, cs2, CS3",2017-08,경상북도 청송군 진보면 청송로 6359(진안리 353),경상북도 청송군 진보면 진안리 353,경상북도 청송군청,054-870-6249,36.5233037,129.0394277,2018-08-01,5160000,경상북도 청송군,
청송버스터미널,대합실,경상북도,청송군,교통시설,KT,Public WiFi Free,2014-12,경상북도 청송군 청송읍 중앙로 184(월막리 484-40),경상북도 청송군 청송읍 월막리 484-40,경상북도 청송군청,054-870-6073,36.4374729,129.0330277,2018-08-01,5160000,경상북도 청송군,
청송버스정류장,대합실,경상북도,청송군,교통시설,KT,Public WiFi Free,2015-10,경상북도 청송군 청송읍 금월로 269(월막리 373),경상북도 청송군 청송읍 월막리 373,경상북도 청송군청,054-870-6073,36.4332671,129.0378191,2018-08-01,5160000,경상북도 청송군,
