호선,역명,엘리베이터,에스컬레이터,무빙워크,휠체어리프트
1,서울역(1),4,3,0,1
1,시청(1),3,3,0,0
1,종각,4,2,0,0
1,종로3가(1),3,4,0,0
1,종로5가,3,0,0,0
1,동대문(1),3,1,0,0
1,동묘앞,7,12,0,0
1,신설동(1),5,0,0,6
1,제기동,3,2,0,0
1,청량리(1),1,4,0,2
2,시청(2),2,6,0,0
2,을지로입구,4,6,0,0
2,을지로3가(2),2,0,0,0
2,을지로4가,3,2,0,0
2,동대문역사문화공원(2),3,2,0,0
2,신당,3,2,0,1
2,상왕십리,3,8,0,0
2,왕십리,2,8,0,1
2,한양대,2,2,0,1
2,뚝섬,3,6,0,0
2,성수,4,8,0,2
2,용답,0,0,0,2
2,신답,2,0,0,1
2,용두,4,12,0,0
2,신설동(2),2,0,0,6
2,건대입구,2,2,0,1
2,구의,2,6,0,0
2,강변,2,0,0,0
2,잠실나루,2,4,0,0
2,잠실,4,6,0,1
2,잠실새내,4,11,0,0
2,종합운동장,3,3,0,0
2,삼성,5,2,0,1
2,선릉,3,2,0,0
2,역삼,4,12,0,0
2,강남,4,0,0,0
2,교대(2),3,2,0,0
2,서초,4,8,0,0
2,방배,3,2,0,0
2,사당(2),3,12,0,0
2,낙성대,3,4,0,0
2,서울대입구,3,8,0,0
2,봉천,2,6,0,0
2,신림,3,2,0,0
2,신대방,3,8,0,0
2,구로디지털단지,3,4,0,0
2,대림,4,6,0,0
2,신도림,4,9,0,0
2,도림천,2,0,0,0
2,양천구청,3,0,0,0
2,신정네거리,3,2,0,1
2,문래,3,4,0,0
2,영등포구청,3,2,0,0
2,당산,3,1,0,0
2,합정,4,4,0,0
2,홍대입구,2,8,0,0
2,신촌,3,2,0,0
2,이대,2,4,0,0
2,아현,3,0,0,0
2,충정로,2,4,0,0
3,지축,1,0,0,0
3,구파발,2,2,0,0
3,연신내,1,4,0,0
3,불광,3,2,0,0
3,녹번,2,0,0,0
3,홍제,3,0,0,0
3,무악재,3,0,0,0
3,독립문,2,6,0,0
3,경복궁,2,10,0,0
3,안국,2,10,0,0
3,종로3가(3),0,6,2,4
3,을지로3가(3),2,2,0,0
3,동대입구,3,4,0,0
3,약수,2,2,0,0
3,금호,2,4,0,0
3,옥수,3,2,0,2
3,압구정,4,3,0,0
3,신사,4,6,0,0
3,잠원,3,0,0,0
3,고속터미널,2,24,0,1
3,교대(3),1,2,0,1
3,남부터미널,3,2,0,0
3,양재,4,2,0,0
3,매봉,3,4,0,0
3,도곡,0,8,0,0
3,대치,2,6,0,0
3,학여울,3,2,0,0
3,대청,3,4,0,0
3,일원,3,0,0,0
3,수서,4,12,0,0
3,가락시장,3,22,0,0
3,경찰병원,4,20,0,0
3,오금,3,15,0,0
4,당고개,3,0,0,0
4,상계,1,0,0,2
4,노원,4,2,0,0
4,창동,2,2,0,6
4,쌍문,3,4,0,0
4,수유,3,4,0,0
4,미아,3,4,0,0
4,미아사거리,2,2,0,0
4,길음,3,3,0,0
4,성신여대입구,4,3,0,0
4,한성대입구,3,2,0,0
4,혜화,4,4,0,0
4,동대문(4),2,10,0,1
4,동대문역사문화공원(4),1,6,0,0
4,충무로(4),3,22,0,1
4,명동,1,6,0,2
4,회현,2,6,0,1
4,서울역(4),2,4,0,1
4,숙대입구,3,0,0,0
4,삼각지,4,4,0,0
4,신용산,3,5,0,1
4,이촌,4,4,0,1
4,동작,2,0,0,0
4,총신대입구,4,2,0,0
4,사당(4),2,7,0,1
4,남태령,3,2,0,0
5,방화,3,0,0,0
5,개화산,2,0,0,0
5,김포공항,2,8,0,0
5,송정,4,4,0,0
5,마곡,4,6,0,0
5,발산,3,0,0,0
5,우장산,3,4,0,0
5,화곡,2,4,0,0
5,까치산,1,12,0,3
5,신정,2,10,0,0
5,목동,3,2,0,0
5,오목교,3,10,0,0
5,양평,3,8,0,0
