"설치장소명",설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
"의정부제일시장","가동, 나동, 다동, 라동 지하1층~2층",경기도,의정부시,기타,SKT,,2015-11,경기도 의정부시 태평로73번길 20 (의정부동),경기도 의정부시 의정부동 160,경기도 의정부시청,031-846-2617,37.744874,127.069053,2018-07-10
"장암동 주민자치센터",민원실,경기도,의정부시,관공서,KT,ollehwifi,2011-10,경기도 의정부시 장곡로250번길 23 (장암동),경기도 의정부시 장암동 20-10,경기도 의정부시청,031-828-2302,37.726413,127.054269,2018-07-10
"송산1동 주민자치센터",민원실,경기도,의정부시,관공서,KT,ollehwifi,2011-10,경기도 의정부시 민락로 13 (용현동),경기도 의정부시 용현동 60-8,경기도 의정부시청,031-828-2302,37.731076,127.086807,2018-07-10
"삼성프라자 금오점",삼성프라자 금오점,경기도,의정부시,기타,SKT,,,경기도 의정부시 청사로 41,경기도 의정부시 금오동 473-2,경기도 의정부시청,031-828-2302,37.751917,127.069714,2018-07-10
"성모안과",성모안과,경기도,의정부시,기타,SKT,,,경기도 의정부시 행복로 18,경기도 의정부시 의정부동 179-4,경기도 의정부시청,031-828-2302,37.740282,127.049177,2018-07-10
"의정부 정보도서관","1층 학습1실, 학습2실, 노트북실, 정보미디어실, 꾸러기열람실, 힘든이열람실, 2층 사무실, 문헌정보실,디지털정보실",경기도,의정부시,관공서,"경기도 의정부시, KT","UIB_LIB, ollehwifi",2011-10,경기도 의정부시 의정로 41 (의정부동),경기도 의정부시 의정부동 326-7,경기도 의정부시청,031-828-4824,37.736479,127.033922,2018-07-10
"자금동 주민자치센터",민원실,경기도,의정부시,관공서,KT,ollehwifi,2011-10,경기도 의정부시 거북로 13 (금오동),경기도 의정부시 금오동 285-52,경기도 의정부시청,031-828-2302,37.750275,127.058139,2018-07-10
"가능1동 주민자치센터",민원실,경기도,의정부시,관공서,KT,ollehwifi,2011-10,경기도 의정부시 신촌로 35 (가능동),경기도 의정부시 가능동 617-8,경기도 의정부시청,031-828-2302,37.750511,127.038383,2018-07-10
"가능2동 주민자치센터",민원실,경기도,의정부시,관공서,KT,ollehwifi,2011-10,경기도 의정부시 의정로88번길 9 (가능동),경기도 의정부시 가능동 831-1,경기도 의정부시청,031-828-2302,37.740785,127.035511,2018-07-10
"가능3동 주민자치센터",민원실,경기도,의정부시,관공서,KT,ollehwifi,2011-10,경기도 의정부시 호국로1135번길 15 (가능동),경기도 의정부시 가능동 702-10,경기도 의정부시청,031-828-2302,37.743381,127.029657,2018-07-10
"녹양동 주민자치센터",민원실,경기도,의정부시,관공서,KT,ollehwifi,2011-10,경기도 의정부시 진등로 21 (녹양동),경기도 의정부시 녹양동 374-6,경기도 의정부시청,031-828-2302,37.759987,127.032355,2018-07-10
"청소년수련관",본관,경기도,의정부시,서민·복지시설,SKT,T wifi zone,2011-10,경기도 의정부시 의정로 27 (의정부동),경기도 의정부시 의정부동 352,경기도 의정부시 시설관리공단,031-828-9500,37.735087,127.034104,2018-07-10
"예술의전당",본관,경기도,의정부시,지역문화시설,SKT,T wifi zone,2011-10,경기도 의정부시 의정로 1 (의정부동),경기도 의정부시 의정부동 323,경기도 의정부시 예술의전당,031-828-5841,37.733413,127.034368,2018-07-10
"의정부노인종합복지관",1층~2층 로비,경기도,의정부시,서민·복지시설,SKT,,2015-11,경기도 의정부시 경의로85번길 16-12 (의정부동),경기도 의정부시 의정부동 580-3,경기도 의정부시청,031-826-0742,37.733682,127.045589,2018-07-10
"송산노인종합복지관",지하1층~3층 로비,경기도,의정부시,서민·복지시설,SKT,,2015-11,경기도 의정부시 용민로 99 (민락동),경기도 의정부시 민락동 736-2,경기도 의정부시청,031-852-2595,37.738877,127.088751,2018-07-10
"송산2동 주민자치센터",민원실,경기도,의정부시,관공서,KT,ollehwifi,2011-10,경기도 의정부시 용민로 115 (민락동),경기도 의정부시 민락동 743-2,경기도 의정부시청,031-828-2302,37.739717,127.089991,2018-07-10
"차량등록사업소",민원실,경기도,의정부시,관공서,KT,ollehwifi,2011-10,경기도 의정부시 체육로 90 (녹양동),경기도 의정부시 녹양동 174-1,경기도 의정부시청,031-828-2302,37.757003,127.029757,2018-07-10
"의정부1동 주민자치센터",민원실,경기도,의정부시,관공서,KT,ollehwifi,2011-10,경기도 의정부시 가능로152번길 14 (의정부동),경기도 의정부시 의정부동 225-1,경기도 의정부시청,031-828-2302,37.746355,127.047652,2018-07-10
"의정부2동 주민자치센터",민원실,경기도,의정부시,관공서,KT,ollehwifi,2011-10,경기도 의정부시 신흥로 275 (의정부동),경기도 의정부시 의정부동 433-52,경기도 의정부시청,031-828-2302,37.740791,127.042825,2018-07-10
"의정부3동 주민자치센터",민원실,경기도,의정부시,관공서,KT,ollehwifi,2011-10,경기도 의정부시 경의로 120 (의정부동),경기도 의정부시 의정부동 371,경기도 의정부시청,031-828-2302,37.732795,127.048934,2018-07-10
"호원1동 주민자치센터",민원실,경기도,의정부시,관공서,KT,ollehwifi,2011-10,경기도 의정부시 평화로230번길 12-9 (호원동),경기도 의정부시 호원동 456-5,경기도 의정부시청,031-828-2302,37.711991,127.048744,2018-07-10
"호원2동 주민자치센터",민원실,경기도,의정부시,관공서,KT,ollehwifi,2011-10,경기도 의정부시 신흥로 115 (호원동),경기도 의정부시 호원동 319-2,경기도 의정부시청,031-828-2302,37.726476,127.043125,2018-07-10
"신곡1동 주민자치센터",민원실,경기도,의정부시,관공서,KT,ollehwifi,2011-10,경기도 의정부시 발곡로 17 (신곡동),경기도 의정부시 신곡동 716-1,경기도 의정부시청,031-828-2302,37.731501,127.056764,2018-07-10
"신곡2동 주민자치센터",민원실,경기도,의정부시,관공서,KT,ollehwifi,2011-10,경기도 의정부시 추동로23번길 7 (신곡동),경기도 의정부시 신곡동 672,경기도 의정부시청,031-828-2302,37.743627,127.057913,2018-07-10
"신곡노인종합복지관",지하1층~3층 로비,경기도,의정부시,서민·복지시설,SKT,,2015-11,경기도 의정부시 금신로297번길 38 (신곡동),경기도 의정부시 신곡동 129,경기도 의정부시청,031-840-5300,37.743011,127.063485,2018-07-10
"의정부시장애인종합복지관",1층~3층 로비,경기도,의정부시,서민·복지시설,SKT,,2015-11,경기도 의정부시 용민로 160 (민락동),경기도 의정부시 민락동 735-17,경기도 의정부시청,031-850-5320,37.436621,127.092231,2018-07-10
"대송프라자",대송프라자,경기도,의정부시,기타,LGT,,,경기도 의정부시 청사로48번길 7,경기도 의정부시 금오동 474-2,경기도 의정부시청,031-828-2302,37.752872,127.070457,2018-07-10
"골드프라자",골드프라자,경기도,의정부시,기타,SKT,,,경기도 의정부시 회룡로 188,경기도 의정부시 장암동 20-9,경기도 의정부시청,031-828-2302,37.726329,127.054571,2018-07-10
"골드피아 1층",골드피아 1층 헤어코코,경기도,의정부시,기타,SKT,,,경기도 의정부시 청사로47번길 15,경기도 의정부시 금오동 472-1,경기도 의정부시청,031-828-2302,37.752118,127.069008,2018-07-10
"로얄프라자 1층",로얄프라자 1층 더샵헤어,경기도,의정부시,기타,SKT,,,경기도 의정부시 청사로47번길 18,경기도 의정부시 금오동 470-2,경기도 의정부시청,031-828-2302,37.752482,127.068639,2018-07-10
"스타헤어샵",스타헤어샵,경기도,의정부시,기타,SKT,,,경기도 의정부시 호국로 1330,경기도 의정부시 의정부동 17-2,경기도 의정부시청,031-828-2302,37.743731,127.051951,2018-07-10
"신세계프라자",신세계프라자,경기도,의정부시,기타,SKT,,,경기도 의정부시 청사로 37,경기도 의정부시 금오동 473-3,경기도 의정부시청,031-828-2302,37.751473,127.069838,2018-07-10
"신여성산후관리센터",신여성산후관리센터,경기도,의정부시,기타,SKT,,,경기도 의정부시 신흥로239번길 40,경기도 의정부시 의정부동 492-9,경기도 의정부시청,031-828-2302,37.737707,127.040848,2018-07-10
"의정부스포츠센터",의정부스포츠센터,경기도,의정부시,기타,SKT,,,경기도 의정부시 장암동 78-2,경기도 의정부시 장암동 78-2,경기도 의정부시청,031-828-2302,37.713391,127.051414,2018-07-10
"의정부터미널",의정부터미널,경기도,의정부시,교통시설,SKT,,,경기도 의정부시 동일로 640,경기도 의정부시 금오동 369-5,경기도 의정부시청,031-828-2302,37.745125,127.055068,2018-07-10
"이준식치과",이준식치과,경기도,의정부시,기타,SKT,,,경기도 의정부시 신흥로258번길 25,경기도 의정부시 의정부동 439-23,경기도 의정부시청,031-828-2302,37.739242,127.044825,2018-07-10
"중앙오피스텔",중앙오피스텔 1층 GS25,경기도,의정부시,기타,SKT,,,경기도 의정부시 둔야로 20,경기도 의정부시 의정부동 492-12,경기도 의정부시청,031-828-2302,37.737648,127.040049,2018-07-10
"해태프라자",해태프라자 1층 GS25,경기도,의정부시,기타,SKT,,,경기도 의정부시 신흥로258번길 25,경기도 의정부시 의정부동 439-23,경기도 의정부시청,031-828-2302,37.739242,127.044825,2018-07-10
"의정부 과학도서관","자연과학실,인문과학실,꿈나무실",경기도,의정부시,관공서,"경기도 의정부시, KT","uilib-Science-Lib, ollehwifi",2012-10,경기도 의정부시 추동로124번길 52 (신곡동),경기도 의정부시 신곡동 124-1,경기도 의정부시청,031-828-8655,37.744874,127.069053,2018-07-10
