"설치장소명","설치장소상세","설치시도명","설치시군구명","설치시설구분","서비스제공사명","와이파이SSID","설치년월","소재지도로명주소","소재지지번주소","관리기관명","관리기관전화번호","위도","경도","데이터기준일자"
"종합사회복지관","종합사회복지관 청내","경기도","하남시","서민·복지시설","SKT","Public WIFI Free","2017-11","경기도 하남시 덕풍천서로 9","경기도 하남시 신장동 521-5","경기도 하남시청","02-2051-1442","37.5416749","127.2156348","2017-11-07"
"초이동주민센터","주민센터 청내","경기도","하남시","관공서","KT, 하남시","Hanam_Public, minwon_public","2017-01","경기도 하남시 초이로 65","경기도 하남시 초이동 276-5","경기도 하남시청","031-792-6543","37.5366109","127.1709211","2017-11-07"
"미사2동주민센터","주민센터 청내","경기도","하남시","관공서","하남시","minwon_public","2017-01","경기도 하남시 아리수로 531","경기도 하남시 망월동 981","경기도 하남시청","031-792-6543","37.5671786","127.1860635","2017-11-07"
"노인복지회관","복지회관","경기도","하남시","서민·복지시설","KT","Hanam_Public","2017-01","경기도 하남시 서하남로 488","경기도 하남시 춘궁동 334-1","경기도 하남시청","031-792-6543","37.5220151","127.1939739","2017-11-07"
"나룰도서관","도서관 열람실","경기도","하남시","지역문화시설","KT","Hanam_Public","2017-01","경기도 하남시 덕풍북로 180","경기도 하남시 덕풍동 739","경기도 하남시청","031-792-6543","37.5526738","127.2070134","2017-11-07"
"생태습지연못","위례강변길","경기도","하남시","기타","KT","Hanam_Public","2017-01","","경기도 하남시 신장동 476","경기도 하남시청","031-792-6543","37.5495707","127.2209512","2017-11-07"
"공영차고지","BRT차고지","경기도","하남시","교통시설","SKT","Public WIFI Free","2017-11","경기도 하남시 창우로 146","경기도 하남시 창우동 224-1","경기도 하남시청","02-2051-1442","37.5391644","127.2302652","2017-11-07"
"고혈압,당뇨병 센터","고혈압,당뇨병 등록교육센터","경기도","하남시","기타","SKT","Public WIFI Free","2017-11","경기도 하남시 역말로 71","경기도 하남시 덕풍동 426-10","경기도 하남시청","02-2051-1442","37.5379715","127.2028307","2017-11-07"
"하남푸드뱅크","하남푸드뱅크","경기도","하남시","서민·복지시설","SKT","Public WIFI Free","2017-11","경기도 하남시 역말로 71","경기도 하남시 덕풍동 426-10","경기도 하남시청","02-2051-1442","37.5360616","127.2044951","2017-11-07"
"덕풍2동 청소년 문화의 집","덕풍2동 청소년 문화의 집","경기도","하남시","지역문화시설","SKT","Public WIFI Free","2017-11","경기도 하남시 덕풍공원로 12","경기도 하남시 덕풍동 693","경기도 하남시청","02-2051-1442","37.5422465","127.1981037","2017-11-07"
"역사박물관","역사박물관 청내","경기도","하남시","지역문화시설","SKT","Public WIFI Free","2017-11","경기도 하남시 덕풍동로 30","경기도 하남시 덕풍동 694","경기도 하남시청","02-2051-1442","37.5454051","127.2061391","2017-11-07"
"천현동주민센터","주민센터 청내","경기도","하남시","관공서","KT, 하남시","Hanam_Public, minwon_public","2017-01","경기도 하남시 검단남로 48","경기도 하남시 하산곡동 172-1","경기도 하남시청","031-792-6543","37.5192338","127.2239748","2017-11-07"
"신장1동주민센터","주민센터 청내","경기도","하남시","관공서","KT, 하남시","Hanam_Public, minwon_public","2017-01","경기도 하남시 신장1로27번길 13","경기도 하남시 신장1동 446-17","경기도 하남시청","031-792-6543","37.5388119","127.2095911","2017-11-07"
"신장2동주민센터","주민센터 청내","경기도","하남시","관공서","KT, 하남시","Hanam_Public, minwon_public","2017-01","경기도 하남시 대청로21번길 32","경기도 하남시 신장동 521-1","경기도 하남시청","031-792-6543","37.5417664","127.2140214","2017-11-07"
"덕풍1동주민센터","주민센터 청내","경기도","하남시","관공서","KT, 하남시","Hanam_Public, minwon_public","2017-01","경기도 하남시 덕풍공원로 110","경기도 하남시 덕풍동 산62-1","경기도 하남시청","031-792-6543","37.5357287","127.1980645","2017-11-07"
"덕풍2동주민센터","주민센터 청내","경기도","하남시","관공서","KT, 하남시","Hanam_Public, minwon_public","2017-01","경기도 하남시 덕풍공원로 12","경기도 하남시 덕풍동 693","경기도 하남시청","031-792-6543","37.5422808","127.1980818","2017-11-07"
"덕풍3동주민센터","주민센터 청내","경기도","하남시","관공서","KT, 하남시","Hanam_Public, minwon_public","2017-01","경기도 하남시 덕풍서로 66","경기도 하남시 덕풍동 737","경기도 하남시청","031-792-6543","37.5525336","127.2046954","2017-11-07"
"풍산동주민센터","주민센터 청내","경기도","하남시","관공서","KT, 하남시","Hanam_Public, minwon_public","2017-01","경기도 하남시 하남대로 1037-4","경기도 하남시 풍산동 244-1","경기도 하남시청","031-792-6543","37.5486836","127.1856735","2017-11-07"
"미사1동주민센터","주민센터 청내","경기도","하남시","관공서","하남시","minwon_public","2017-07","경기도 하남시 미사강변남로 59","경기도 하남시 망월동 1071","경기도 하남시청","031-792-6543","37.567551","127.189241","2017-11-07"
"감북동주민센터","주민센터 청내","경기도","하남시","관공서","KT, 하남시","Hanam_Public, minwon_public","2017-01","경기도 하남시 감북로 39","경기도 하남시 감북동 328","경기도 하남시청","031-792-6543","37.5161819","127.1616897","2017-11-07"
"춘궁동주민센터","주민센터 청내","경기도","하남시","관공서","KT, 하남시","Hanam_Public, minwon_public","2017-01","경기도 하남시 서하남로 490","경기도 하남시 춘궁동 330-2","경기도 하남시청","031-792-6543","37.522584","127.1943102","2017-11-07"
"위례동주민센터","주민센터 청내","경기도","하남시","관공서","하남시","minwon_public","2017-01","경기도 하남시 위례순환로 310","경기도 하남시 학암동 287-1","경기도 하남시청","02-2051-1442","37.4773532","127.152406","2017-11-07"
"신장전통재래시장","전통시장","경기도","하남시","기타","SKT","Public WIFI Free","2017-01","경기도 하남시 하남대로801번길 68","경기도 하남시 신장동 427-452","경기도 하남시청","02-2051-1442","37.5382121","127.2063715","2017-11-07"
"덕풍전통재래시장","전통시장","경기도","하남시","기타","SKT","Public WIFI Free","2017-01","경기도 하남시 신장로154번길 57","경기도 하남시 덕풍동 326-9","경기도 하남시청","02-2051-1442","37.5418138","127.2035164","2017-11-07"
"상수도과","사업소 내","경기도","하남시","관공서","KT","Hanam_Public","2017-01","","경기도 하남시 창우동 산1-22","경기도 하남시청","031-792-6543","37.5386252","127.2359314","2017-11-07"
"신장도서관","도서관 열람실","경기도","하남시","지역문화시설","KT","Hanam_Public","2017-01","경기도 하남시 하남대로 740","경기도 하남시 신장동 520-2","경기도 하남시청","031-792-6543","37.5382819","127.2137399","2017-11-07"
"선사유적지","위례강변길","경기도","하남시","기타","KT","Hanam_Public","2017-01","","경기도 하남시 미사동 535-14","경기도 하남시청","031-792-6543","37.5763268","127.2048737","2017-11-07"
"자전거쉼터","위례강변길","경기도","하남시","기타","KT","Hanam_Public","2017-01","","경기도 하남시 미사동 163-3","경기도 하남시청","031-792-6543","37.5653018","127.2132647","2017-11-07"
"위례길쉼터","위례강변길","경기도","하남시","기타","KT","Hanam_Public","2017-01","","경기도 하남시 미사동 73-1","경기도 하남시청","031-792-6543","37.5626913","127.2139182","2017-11-07"
"낙하장","위례강변길","경기도","하남시","기타","KT","Hanam_Public","2017-01","","경기도 하남시 미사동 56","경기도 하남시청","031-792-6543","37.5592508","127.2152122","2017-11-07"
"새전망대","위례강변길","경기도","하남시","기타","KT","Hanam_Public","2017-01","","경기도 하남시 미사동 622-1","경기도 하남시청","031-792-6543","37.5514788","127.2181413","2017-11-07"
"덕풍천하류","위례강변길","경기도","하남시","기타","KT","Hanam_Public","2017-01","경기도 하남시 신평로 75","경기도 하남시 신장동 246","경기도 하남시청","031-792-6543","37.5500766","127.2183001","2017-11-07"
"정자","위례강변길","경기도","하남시","기타","KT","Hanam_Public","2017-01","경기도 하남시 검단산로 371","경기도 하남시 창우동 469","경기도 하남시청","031-792-6543","37.5481178","127.2287778","2017-11-07"
"산곡천하류","위례강변길","경기도","하남시","기타","KT","Hanam_Public","2017-01","","경기도 하남시 창우동 72","경기도 하남시청","031-792-6543","37.5445137","127.2325054","2017-11-07"
"환경기초시설","유니온타원","경기도","하남시","관공서","SKT","Public WIFI Free","2017-11","경기도 하남시 미사대로 710","경기도 하남시 신장동 26-2","경기도 하남시청","02-2051-1442","37.5470928","127.218869","2017-11-07"
