연번,영업장면적,업태명,,,,,,감성주점
1,34,한식,,,,,,경양식
2,30,한식,,,,,,기타
3,0,한식,,,,,,김밥(도시락)
4,62.81,한식,,,,,,까페
5,98,한식,,,,,,다방
6,148.33,한식,,,,,,라이브카페
7,13.2,한식,,,,,,복어취급
8,134,한식,,,,,,분식
9,29,한식,,,,,,뷔페식
10,399.35,탕류(보신용),,,,,,식육(숯불구이)
11,24.94,한식,,,,,,
12,48.75,식육(숯불구이),,,,,,외국음식전문점(인도태국등)
13,15.51,한식,,,,,,이동조리
14,27,한식,,,,,,일식
15,24.36,한식,,,,,,전통찻집
16,240.9,한식,,,,,,정종/대포집/소주방
17,52.2,한식,,,,,,중국식
18,83.75,중국식,,,,,,탕류(보신용)
19,19.25,한식,,,,,,통닭(치킨)
20,25,일식,,,,,,패밀리레스트랑
21,35.87,한식,,,,,,패스트푸드
22,102,회집,,,,,,한식
23,49.5,한식,,,,,,호프/통닭
24,62,한식,,,,,,회집
25,44.1,한식,,,,,,
26,16.3,한식,,,,,,
27,23,한식,,,,,,
28,20,한식,,,,,,
29,23.5,한식,,,,,,
30,39.53,회집,,,,,,
31,14.7,식육(숯불구이),,,,,,
32,259.56,회집,,,,,,
33,29.4,회집,,,,,,
34,26.4,한식,,,,,,
35,19.8,한식,,,,,,
36,63.96,중국식,,,,,,
37,90.56,한식,,,,,,
38,110.56,회집,,,,,,
39,82.5,중국식,,,,,,
40,129.62,한식,,,,,,
41,126.92,한식,,,,,,
42,144.15,한식,,,,,,
43,24,한식,,,,,,
44,13.02,한식,,,,,,
45,114.8,회집,,,,,,
46,39.8,한식,,,,,,
47,24,한식,,,,,,
48,22.4,한식,,,,,,
49,24.48,한식,,,,,,
50,109,회집,,,,,,
51,50.95,한식,,,,,,
52,94.7,중국식,,,,,,
53,56,한식,,,,,,
54,172.49,중국식,,,,,,
55,139.3,중국식,,,,,,
56,69.92,중국식,,,,,,
57,33.28,한식,,,,,,
58,548.97,회집,,,,,,
59,18,한식,,,,,,
60,24,한식,,,,,,
61,24.36,한식,,,,,,
62,86.4,한식,,,,,,
63,31.68,한식,,,,,,
64,37.5,호프/통닭,,,,,,
65,149.77,중국식,,,,,,
66,109,한식,,,,,,
67,201.01,중국식,,,,,,
68,33,중국식,,,,,,
69,75,한식,,,,,,
70,32.67,분식,,,,,,
71,30,호프/통닭,,,,,,
72,20.72,한식,,,,,,
73,115,까페,,,,,,
74,24.36,한식,,,,,,
75,33,중국식,,,,,,
76,79.2,회집,,,,,,
77,182.9,회집,,,,,,
78,13.2,한식,,,,,,
79,245,회집,,,,,,
80,82.5,복어취급,,,,,,
81,95.25,중국식,,,,,,
82,155.89,식육(숯불구이),,,,,,
83,32,한식,,,,,,
84,25.6,한식,,,,,,
85,95,한식,,,,,,
86,39,호프/통닭,,,,,,
87,144.36,중국식,,,,,,
88,85,중국식,,,,,,
89,199.78,한식,,,,,,
90,48,까페,,,,,,
91,141.9,회집,,,,,,
92,51.51,일식,,,,,,
93,44,한식,,,,,,
94,20,한식,,,,,,
95,173.2,한식,,,,,,
96,114.38,한식,,,,,,
97,59.91,한식,,,,,,
98,142.6,중국식,,,,,,
99,51.1,한식,,,,,,
100,45,중국식,,,,,,
101,51,중국식,,,,,,
102,16,한식,,,,,,
103,130,한식,,,,,,
104,44.6,한식,,,,,,
105,78,한식,,,,,,
106,12.4,한식,,,,,,
107,23,한식,,,,,,
108,273,한식,,,,,,
109,59.64,한식,,,,,,
110,26,까페,,,,,,
111,15.36,통닭(치킨),,,,,,
112,21,한식,,,,,,
113,19.78,한식,,,,,,
114,35.08,까페,,,,,,
115,108.05,중국식,,,,,,
116,35.26,한식,,,,,,
117,26.5,중국식,,,,,,
118,64,식육(숯불구이),,,,,,
119,55.56,한식,,,,,,
120,256.36,복어취급,,,,,,
121,20.4,한식,,,,,,
122,217.25,한식,,,,,,
123,44,한식,,,,,,
124,49.4,한식,,,,,,
125,39.6,한식,,,,,,
126,30,김밥(도시락),,,,,,
127,29.7,한식,,,,,,
128,23.46,한식,,,,,,
129,21.6,중국식,,,,,,
130,76.32,한식,,,,,,
131,30,중국식,,,,,,
132,42.6,중국식,,,,,,
133,311.56,한식,,,,,,
134,79,한식,,,,,,
135,50,한식,,,,,,
136,84.65,한식,,,,,,
137,78.86,한식,,,,,,
138,47.45,한식,,,,,,
139,44,한식,,,,,,
140,44.8,한식,,,,,,
141,0,한식,,,,,,
142,234,한식,,,,,,
143,99,한식,,,,,,
144,54.6,중국식,,,,,,
145,49.2,호프/통닭,,,,,,
146,97.4,회집,,,,,,
147,89.7,한식,,,,,,
148,40.2,한식,,,,,,
149,231,한식,,,,,,
150,184.52,한식,,,,,,
151,40,한식,,,,,,
152,70.8,통닭(치킨),,,,,,
153,80.26,한식,,,,,,
154,65.28,한식,,,,,,
155,48.9,까페,,,,,,
156,272.28,한식,,,,,,
157,0,한식,,,,,,
158,29,통닭(치킨),,,,,,
159,166.4,통닭(치킨),,,,,,
160,101.26,식육(숯불구이),,,,,,
161,148.07,중국식,,,,,,
162,28.62,호프/통닭,,,,,,
163,33,호프/통닭,,,,,,
164,56.25,호프/통닭,,,,,,
165,87.28,한식,,,,,,
166,204,한식,,,,,,
167,77,한식,,,,,,
168,165.84,회집,,,,,,
169,177.57,일식,,,,,,
170,54,한식,,,,,,
171,90.06,경양식,,,,,,
172,48.12,기타,,,,,,
173,238.78,까페,,,,,,
174,562.27,일식,,,,,,
175,1453.61,뷔페식,,,,,,
176,11.01,한식,,,,,,
177,49,한식,,,,,,
178,114.99,한식,,,,,,
179,27.74,한식,,,,,,
180,133.11,한식,,,,,,
181,60.3,한식,,,,,,
182,29.4,한식,,,,,,
183,90.48,한식,,,,,,
184,120,회집,,,,,,
185,294,한식,,,,,,
186,42.6,까페,,,,,,
187,19.8,한식,,,,,,
188,45,한식,,,,,,
189,16,한식,,,,,,
190,30.6,식육(숯불구이),,,,,,
191,679.45,한식,,,,,,
192,49.5,호프/통닭,,,,,,
193,29.4,호프/통닭,,,,,,
194,163,한식,,,,,,
195,444.78,한식,,,,,,
196,28,식육(숯불구이),,,,,,
197,218.5,한식,,,,,,
198,60.7,중국식,,,,,,
199,52,한식,,,,,,
