년도,연번,시설명,인증구분,인증서 번호,인증 기간,인증등급,"도,시",시군구,비고
2014,1,성모의지,예비인증,제360호,14.08.22.~19.08.21.,최우수,대구광역시,동구,민간
2014,2, 위앤미㈜ 감귤가공공장,예비인증,제373호,14.08.22.~19.08.21.,우수,제주특별자치도,서귀포시,민간
2014,3,지에스피㈜,예비인증,제395호,14.12.12.~19.12.11.,우수,경기도,안양시,민간
2014,4,㈜삼구팔구,예비인증,제403호,14.12.12.~19.12.11.,우수,광주광역시,광산구,민간
2014,5,㈜대동소방,예비인증,제403호,14.12.29.~19.12.28.,우수,경기도,김포시,민간
2014,6,㈜내일식품 음성공장,예비인증,제404호,14.12.29.~19.12.28.,우수,충청북도,음성군,민간
2015,1,아트 뮤지엄 벗이,예비인증,제440호,15.05.06.~20.05.05.,우수,경기도,용인시,민간
2015,2,성모의지,본인증,제176호,15.07.01.~20.06.30.,최우수,대구광역시,동구,민간
2015,3,(사)화순사랑,예비인증,제465호,15.07.31.~20.07.30.,우수,전라남도,화순군,민간
2015,4,㈜유진택시,예비인증,제470호,15.09.03.~20.09.02.,우수,대전광역시,서구,민간
2015,5,㈜나누리 예산공장,예비인증,제471호,15.09.03.~20.09.02.,우수,충청남도,예산군,민간
2015,6,자양 공공힐링센터,예비인증,제488호,15.10.15.~20.10.14.,우수,서울특별시,광진구,공공
2015,7,3-3생활권 복합커뮤니티센터,예비인증,제491호,15.10.21.~20.10.20.,우수,세종특별자치시,소담동,공공
2015,8,㈜삼구팔구,본인증,제206호,15.10.28.~20.10.27.,우수,광주광역시,광산구,민간
2015,9,(사)화순사랑,본인증,제208호,15.12.01.~20.11.30.,우수,전라남도,화순군,민간
2015,10,(가칭)동희학교,예비인증,제519호,15.12.22.~20.12.21.,우수,인천광역시,남동구,공공
2015,11,아트 뮤지엄 벗이,본인증,제216호,15.12.28.~20.12.27.,우수,경기도,용인시,민간
2015,12,㈜내일식품 음성공장,본인증,제217호,15.12.30.~20.12.29.,우수,충청북도,음성군,민간
2016,1,부평6동 주민센터,예비인증,제565호,16.02.25.~21.02.24.,우수,부산광역시,해운대구,공공
2016,2,반송3동 경로당,예비인증,제563호,16.02.25.~21.02.24.,우수,부산광역시,해운대구,공공
2016,3,반송 놀이센터,예비인증,제564호,16.02.25.~21.02.24.,우수,인천광역시,부평구,공공
2016,4,(가칭)천안불무유치원,예비인증,제585호,16.03.17～21.03.16.,우수,충청남도,천안시,공공
