▶국제선 항공기스케줄('15.08.24~'15.09.23),,,,,,
,,,,,,
공항,상대공항,"출도착(A도착,D출발)",날짜,계획시간,편명,기종
CJJ,CGQ,D,20150824,1600,ZE7271,B738
CJJ,DLC,A,20150830,1430,ZE852,B738
CJJ,DLC,A,20150903,1430,ZE852,B738
CJJ,DLC,A,20150906,1430,ZE852,B738
CJJ,DLC,A,20150910,1430,ZE852,B738
CJJ,DLC,A,20150913,1430,ZE852,B738
CJJ,DLC,A,20150917,1430,ZE852,B738
CJJ,DLC,D,20150830,1040,ZE851,B738
CJJ,DLC,D,20150903,1040,ZE851,B738
CJJ,DLC,D,20150906,1040,ZE851,B738
CJJ,DLC,D,20150910,1040,ZE851,B738
CJJ,DLC,D,20150913,1040,ZE851,B738
CJJ,DLC,D,20150917,1040,ZE851,B738
CJJ,HGH,A,20150824,1740,KE812,B737
CJJ,HGH,A,20150826,1740,KE812,B737
CJJ,HGH,A,20150828,1740,KE812,B737
CJJ,HGH,A,20150831,1740,KE812,B737
CJJ,HGH,A,20150901,2140,MU2061,A320
CJJ,HGH,A,20150902,1740,KE812,B737
CJJ,HGH,A,20150903,2140,MU2061,A320
CJJ,HGH,A,20150904,1740,KE812,B737
CJJ,HGH,A,20150905,2140,MU2061,A320
CJJ,HGH,A,20150906,1740,KE812,B737
CJJ,HGH,A,20150907,1740,KE812,B737
CJJ,HGH,A,20150908,2140,MU2061,A320
CJJ,HGH,A,20150909,1740,KE812,B737
CJJ,HGH,A,20150910,2140,MU2061,A320
CJJ,HGH,A,20150911,1740,KE812,B737
CJJ,HGH,A,20150912,2140,MU2061,A320
CJJ,HGH,A,20150913,1740,KE812,B737
CJJ,HGH,A,20150914,1740,KE812,B737
CJJ,HGH,A,20150915,2140,MU2061,A320
CJJ,HGH,A,20150916,1740,KE812,B737
CJJ,HGH,A,20150917,2140,MU2061,A320
CJJ,HGH,A,20150918,1740,KE812,B737
CJJ,HGH,A,20150919,2140,MU2061,A320
CJJ,HGH,D,20150824,1220,KE811,B737
