¿ª¸í,³¯Â¥,±¸ºÐ,05~06½Ã,06~07½Ã,07~08½Ã,08~09½Ã,09~10½Ã,10~11½Ã,11~12½Ã,12~13½Ã,13~14½Ã,14~15½Ã,15~16½Ã,16~17½Ã,17~18½Ã,18~19½Ã,19~20½Ã,20~21½Ã,21~22½Ã,22~23½Ã,23~24½Ã,00~01½Ã,01~02½Ã,ÃÑÇÕ
¼­¿ï¿ª(150),3/1/2017,½ÂÂ÷,382,335,556,"1,018","1,351","2,122","3,052","3,616","4,055","4,008","6,042","5,982","5,130","3,838","3,003","2,376","2,676","2,001",748,22,0,52313
½ÃÃ»(151),3/1/2017,½ÂÂ÷,63,112,136,179,268,363,667,"1,022","2,624","3,418","8,092","11,089","8,478","9,312","4,164","2,359","1,347",640,218,5,0,54556
Á¾°¢(152),3/1/2017,½ÂÂ÷,233,199,171,241,358,462,888,"1,347","3,529","3,716","6,336","6,901","6,954","7,007","5,844","4,473","3,229","2,053",790,38,0,54769
Á¾·Î3°¡(153),3/1/2017,½ÂÂ÷,227,158,182,251,369,717,"1,291","2,078","3,061","3,530","5,152","5,947","4,997","4,228","2,649","2,103","1,696","1,215",453,13,0,40317
Á¾·Î5°¡(154),3/1/2017,½ÂÂ÷,67,105,133,211,366,541,"1,009","1,701","2,620","3,221","3,850","4,590","4,557","3,557","2,377","1,702","1,129",731,203,2,0,32672
µ¿´ë¹®(155),3/1/2017,½ÂÂ÷,517,363,303,516,696,689,853,"1,322","1,679","1,943","2,071","2,052","1,439","1,059",799,607,528,479,256,13,0,18184
½Å¼³µ¿(156),3/1/2017,½ÂÂ÷,263,248,234,379,465,545,614,805,"1,019","1,079","1,057","1,200","1,076",815,545,493,366,251,142,3,0,11599
Á¦±âµ¿(157),3/1/2017,½ÂÂ÷,106,173,266,442,626,873,"1,310","1,618","2,009","2,250","2,406","2,446","1,534",885,555,337,287,210,86,1,0,18420
Ã»·®¸®(ÁöÇÏ)(158),3/1/2017,½ÂÂ÷,403,383,558,812,"1,126","1,309","1,731","2,025","2,489","2,435","2,559","2,918","2,465","1,688","1,330","1,017",823,502,214,7,0,26794
µ¿¹¦¾Õ(159),3/1/2017,½ÂÂ÷,103,90,74,130,206,306,496,745,"1,116","1,475","2,003","1,907",973,565,362,204,150,159,72,1,0,11137
½ÃÃ»(201),3/1/2017,½ÂÂ÷,40,62,85,133,178,316,447,836,"1,996","2,028","4,472","7,092","6,206","6,448","2,692","1,564",862,502,180,0,0,36139
