일시,최대 풍속(m/s),평균 증기압(hPa),최고 해면기압(hPa),최저 해면기압(hPa)
2017-09-18,3.1,16.2,1010,1006
2017-09-19,4.2,19.3,1011.3,1007.4
2017-09-20,3.7,11.2,1014.7,1008.9
2017-09-21,2.7,12.4,1015.9,1012.1
2017-09-22,2.7,14,1014.4,1010.8
2017-09-23,2.3,17.6,1017.1,1014.3
2017-09-24,2.7,20.2,1016.8,1012.6
2017-09-25,3.1,19.2,1016.4,1012.3
2017-09-26,3.6,16.2,1014.4,1009.1
2017-09-27,4.5,18.4,1009.7,1004.4
2017-09-28,4.4,11.8,1014.3,1007.5
2017-09-29,2.8,7.9,1020.7,1014.2
2017-09-30,3.1,12.2,1024,1020.4
2017-10-01,3.6,14.3,1021.8,1011.7
2017-10-02,3.7,17.7,1013.4,1008.5
2017-10-03,3,11.8,1020.9,1013
2017-10-04,3.9,11.2,1024.1,1020.8
2017-10-05,5.8,11.7,1024.5,1021.8
2017-10-06,2.8,14.7,1022.7,1015.9
2017-10-07,2.9,16.9,1022.1,1017.4
2017-10-08,2.5,17.5,1023.8,1020.4
2017-10-09,2.5,18.1,1023.8,1018.7
2017-10-10,2.3,19.5,1020.4,1015.9
2017-10-11,4.4,15.5,1021.1,1014.5
2017-10-12,3.3,11.3,1021.6,1018.7
2017-10-13,3.6,8.6,1023.8,1020.4
2017-10-14,4.4,7.7,1027.4,1023
2017-10-15,4.7,9.5,1028.4,1024.6
2017-10-16,3.6,10.2,1028.2,1023.9
2017-10-17,2.9,10.7,1026,1021.6
2017-10-18,4,9.8,1025,1021.1
2017-10-19,2.8,10.5,1021.3,1016.6
2017-10-20,3.2,10.3,1020.5,1016.5
2017-10-21,4.5,10.2,1019.8,1015.4
2017-10-22,7,8.8,1015.6,1009.1
2017-10-23,3.7,7.3,1021.3,1012.8
2017-10-24,3.2,8.4,1025.3,1021.3
2017-10-25,2.6,9.1,1027.1,1023.1
2017-10-26,2.4,8.9,1024.2,1019.2
2017-10-27,2.3,9.3,1021,1018
2017-10-28,3.8,10.8,1021.8,1017.4
2017-10-29,5.3,8,1021.5,1013.5
2017-10-30,3.6,3.4,1027.4,1021.5
2017-10-31,2.4,5.9,1028.5,1022.7
2017-11-01,2.8,9.5,1023.9,1019.5
2017-11-02,1.8,11.4,1020.4,1016.7
2017-11-03,3.9,8.8,1024.3,1018.2
2017-11-04,3.1,5.3,1030.3,1024.3
2017-11-05,2.6,6.3,1031.9,1026.8
2017-11-06,3,6.9,1027.7,1022.2
2017-11-07,1.8,9.5,1024.9,1017.6
2017-11-08,3.9,9.1,1023.5,1017.3
2017-11-09,1.9,5.3,1026.9,1021.9
2017-11-10,5.7,7.6,1021.9,1010.8
2017-11-11,3.7,4.4,1023,1019.7
2017-11-12,2.9,5.1,1023.6,1019.7
2017-11-13,3.1,6.1,1021.2,1015.9
2017-11-14,4.3,5.7,1020.7,1016.7
2017-11-15,5.1,4.6,1024.3,1019.5
2017-11-16,3.8,3.1,1027.3,1023.5
2017-11-17,3.7,4.4,1024.7,1016.2
2017-11-18,5,2.7,1026.6,1018.3
2017-11-19,3.8,2.4,1029.4,1025.7
2017-11-20,2.9,4.1,1028.1,1023.6
2017-11-21,2.3,4.3,1029.6,1023.7
2017-11-22,3.9,5,1023.8,1015
2017-11-23,4.1,4.2,1023.2,1020
2017-11-24,4.2,5.2,1028.4,1021.4
2017-11-25,4.8,5.8,1028.6,1020.3
2017-11-26,3.9,7.2,1028.4,1020.6
2017-11-27,2.1,5.4,1029.3,1023.6
2017-11-28,2.9,6.9,1025.1,1021.3
2017-11-29,3.3,4.7,1027.2,1021.8
2017-11-30,3.9,2,1030.9,1025.8
2017-12-01,3.6,2,1033,1029.6
2017-12-02,1.8,3.6,1031.4,1026.2
2017-12-03,2.2,6,1026.6,1021.6
2017-12-04,5.3,4.1,1023.7,1020.7
2017-12-05,4.1,2.1,1024.8,1022.1
2017-12-06,2.1,5,1025.1,1021.7
2017-12-07,3.6,5,1024.4,1020.7
2017-12-08,4.1,2.4,1025.6,1022.9
2017-12-09,2.1,3.8,1023.2,1018.8
2017-12-10,5.6,5.6,1019.6,1010.9
2017-12-11,4.8,2.7,1027.6,1019.5
2017-12-12,3.9,1.6,1031.9,1027.5
2017-12-13,3.4,1.7,1033.4,1030.5
2017-12-14,2.4,2.1,1034.2,1029.7
2017-12-15,1.8,2.5,1030.4,1024.2
2017-12-16,4.4,2.3,1030.6,1024.9
2017-12-17,3.3,2,1032.9,1029.1
2017-12-18,3.8,3.9,1030.7,1024.7
2017-12-19,4.4,2.4,1033.4,1027.2
2017-12-20,3.2,4,1033.9,1029.2
2017-12-21,3,4.1,1033.7,1029.8
2017-12-22,2.2,4.8,1029.8,1025
2017-12-23,2.4,6.4,1025.9,1021.2
2017-12-24,4.3,6.4,1021.4,1006.9
2017-12-25,4,2.8,1024.9,1017.5
2017-12-26,4.3,3.2,1029.5,1023.3
2017-12-27,3.6,1.4,1032,1028.8
2017-12-28,2.5,2.7,1032.5,1027.6
2017-12-29,2.1,5,1028.5,1025.7
2017-12-30,2.9,5.6,1028.1,1020.7
2017-12-31,4.1,3.9,1026.2,1020.4
2018-01-01,3.1,3,1029.3,1026.1
2018-01-02,3.1,3.5,1030.2,1027.5
2018-01-03,3.7,2.3,1032.8,1028.9
2018-01-04,3.5,2.2,1030.9,1023.1
2018-01-05,4.2,3.2,1023.3,1018.9
2018-01-06,2.9,3.3,1025.8,1021.3
2018-01-07,1.9,3.2,1025.7,1018
