"설치장소명","설치장소상세","설치시도명","설치시군구명","설치시설구분","서비스제공사명","와이파이SSID","설치년월","소재지도로명주소","소재지지번주소","관리기관명","관리기관전화번호","위도","경도","데이터기준일자"
"송라초교_신명아파트","버스승강장(23910)","경기도","남양주시","교통시설","KT","namyangju_wifi_121","2015-03","경기도 남양주시 경춘로 1252","경기도 남양주시 평내동 246-14","경기도 남양주시청","031-590-8151","37.656129","127.300965","2017-04-17"
"마석역","버스승강장(23631)","경기도","남양주시","교통시설","KT","namyangju_wifi_122","2015-03","경기도 남양주시 금곡로 75","경기도 남양주시 금곡동 428-21","경기도 남양주시청","031-590-8151","37.652031","127.311316","2017-04-17"
"마석역","버스승강장(23632)","경기도","남양주시","교통시설","KT","namyangju_wifi_123","2015-03","경기도 남양주시 금곡로 72","경기도 남양주시 금곡동 153-5","경기도 남양주시청","031-590-8151","37.651934","127.312096","2017-04-17"
"마석육교_원병원","버스승강장(23608)","경기도","남양주시","교통시설","KT","namyangju_wifi_124","2015-03","경기도 남양주시 경춘로 933","경기도 남양주시 금곡동 434-6","경기도 남양주시청","031-590-8151","37.651178","127.304561","2017-04-17"
"평내호평역","버스승강장(23476)","경기도","남양주시","교통시설","KT","namyangju_wifi_128","2015-03","경기도 남양주시 경춘로 434","경기도 남양주시 지금동 192-4","경기도 남양주시청","031-590-8151","37.653424","127.243565","2017-04-17"
"평내호평역","버스승강장(23479)","경기도","남양주시","교통시설","KT","namyangju_wifi_129","2015-03","경기도 남양주시 경춘로 522","경기도 남양주시 지금동 138-3","경기도 남양주시청","031-590-8151","37.653237","127.243913","2017-04-17"
"지금동주민센터_양정초교","버스승강장(23930)","경기도","남양주시","교통시설","KT","namyangju_wifi_130","2015-03","경기도 남양주시 순화궁로 167","경기도 남양주시 별내동 177-37","경기도 남양주시청","031-590-8151","37.610352","127.166339","2017-04-17"
"별내역","버스승강장(49448)","경기도","남양주시","교통시설","KT","namyangju_wifi_131","2015-03","경기도 남양주시 순화궁로 167","경기도 남양주시 별내동 177-37","경기도 남양주시청","031-590-8151","37.642806","127.127137","2017-04-17"
"마석육교_원병원","버스승강장(23609)","경기도","남양주시","교통시설","KT","namyangju_wifi_125","2015-03","경기도 남양주시 사릉로 17","경기도 남양주시 금곡동 404-209","경기도 남양주시청","031-590-8151","37.651108","127.303914","2017-04-17"
"호평상업지구_이마트","버스승강장(49182)","경기도","남양주시","교통시설","KT","namyangju_wifi_126","2015-03","경기도 남양주시 경춘로 433","경기도 남양주시 도농동 91-4","경기도 남양주시청","031-590-8151","37.655074","127.243845","2017-04-17"
"오남읍사무소_농협","버스승강장(23345)","경기도","남양주시","교통시설","KT","namyangju_wifi_107","2015-03","경기도 남양주시 진건오남로 692","경기도 남양주시 오남읍 오남리 135-22","경기도 남양주시청","031-590-8151","37.698078","127.202614","2017-04-17"
"호평상업지구_이마트","버스승강장(23475)","경기도","남양주시","교통시설","KT","namyangju_wifi_127","2015-03","경기도 남양주시 경춘로 484","경기도 남양주시 도농동 112-2","경기도 남양주시청","031-590-8151","37.655428","127.243437","2017-04-17"
"평내농협_평내초교","버스승강장(23460)","경기도","남양주시","교통시설","KT","namyangju_wifi_89","2015-03","경기도 남양주시 장현로 52","경기도 남양주시 진접읍 장현리 661-3","경기도 남양주시청","031-590-8151","37.649762","127.236812","2017-04-17"
"평내상업지구","버스승강장(23750)","경기도","남양주시","교통시설","KT","namyangju_wifi_92","2015-03","경기도 남양주시 장현로 109","경기도 남양주시 진접읍 장현리 350-1","경기도 남양주시청","031-590-8151","37.646119","127.233846","2017-04-17"
"퇴계원초등학교","버스승강장(23068)","경기도","남양주시","교통시설","KT","namyangju_wifi_96","2015-03","경기도 남양주시 경춘로 1951","경기도 남양주시 화도읍 창현리 723-3","경기도 남양주시청","031-590-8151","37.653217","127.143026","2017-04-17"
"덕소역","버스승강장(23376)","경기도","남양주시","교통시설","KT","namyangju_wifi_82","2015-03","경기도 남양주시 덕소로 56","경기도 남양주시 와부읍 덕소리 590-17","경기도 남양주시청","031-590-8151","37.587399","127.208771","2017-04-17"
"한신1차_어람초교","버스승강장(23385)","경기도","남양주시","교통시설","KT","namyangju_wifi_102","2015-03","경기도 남양주시 진건오남로83","경기도 남양주시 진건읍 용정리 774-17","경기도 남양주시청","031-590-8151","37.682775","127.210535","2017-04-17"
"봉현마을_주공아파트","버스승강장(23208)","경기도","남양주시","교통시설","KT","namyangju_wifi_112","2015-03","경기도 남양주시 경춘북로 545","경기도 남양주시 퇴계원면 퇴계원리 224-9","경기도 남양주시청","031-590-8151","37.715842","127.179552","2017-04-17"
"양병원","버스승강장(23359)","경기도","남양주시","교통시설","KT","namyangju_wifi_116","2015-03","경기도 남양주시 늘을2로 26","경기도 남양주시 호평동 51","경기도 남양주시청","031-590-8151","37.633856","127.205277","2017-04-17"
"도농역_동화중고교","버스승강장(23929)","경기도","남양주시","교통시설","KT","namyangju_wifi_118","2015-03","경기도 남양주시 경춘로 1299","경기도 남양주시 평내동 204-7","경기도 남양주시청","031-590-8151","37.608365","127.162081","2017-04-17"
"덕소역","버스승강장(23383)","경기도","남양주시","교통시설","KT","namyangju_wifi_83","2015-03","경기도 남양주시 덕소로 59","경기도 남양주시 와부읍 덕소리 462-19","경기도 남양주시청","031-590-8151","37.587223","127.209613","2017-04-17"
"덕소삼거리_주공아파트","버스승강장(23394)","경기도","남양주시","교통시설","KT","namyangju_wifi_84","2015-03","경기도 남양주시 덕소로 234","경기도 남양주시 와부읍 도곡리 1025-1","경기도 남양주시청","031-590-8151","37.585446","127.212293","2017-04-17"
"별내역","버스승강장(49447)","경기도","남양주시","교통시설","KT","namyangju_wifi_85","2015-03","경기도 남양주시 덕소로 234","경기도 남양주시 와부읍 도곡리 1025-6","경기도 남양주시청","031-590-8151","37.642495","127.127546","2017-04-17"
"두산아파트","버스승강장(23414)","경기도","남양주시","교통시설","KT","namyangju_wifi_86","2015-03","경기도 남양주시 덕소로 175","경기도 남양주시 와부읍 도곡리 976-2","경기도 남양주시청","031-590-8151","37.580121","127.216626","2017-04-17"
"도심역","버스승강장(23429)","경기도","남양주시","교통시설","KT","namyangju_wifi_87","2015-03","경기도 남양주시 덕소로97번길 2","경기도 남양주시 와부읍 덕소리 112-1","경기도 남양주시청","031-590-8151","37.579545","127.222238","2017-04-17"
"도심역","버스승강장(23430)","경기도","남양주시","교통시설","KT","namyangju_wifi_88","2015-03","경기도 남양주시 장현로 49","경기도 남양주시 진접읍 장현리 659-3","경기도 남양주시청","031-590-8151","37.579361","127.222184","2017-04-17"
"평내농협_평내초교","버스승강장(23457)","경기도","남양주시","교통시설","KT","namyangju_wifi_90","2015-03","경기도 남양주시 장현로 84","경기도 남양주시 진접읍 장현리 381-31","경기도 남양주시청","031-590-8151","37.649714","127.237258","2017-04-17"
"평내문화촌마을","버스승강장(23449)","경기도","남양주시","교통시설","KT","namyangju_wifi_91","2015-03","경기도 남양주시 장현로 182","경기도 남양주시 진접읍 장현리 378-4","경기도 남양주시청","031-590-8151","37.645945","127.232697","2017-04-17"
"퇴계원역","버스승강장(23069)","경기도","남양주시","교통시설","KT","namyangju_wifi_93","2015-03","경기도 남양주시 비룡로 43","경기도 남양주시 화도읍 마석우리 563","경기도 남양주시청","031-590-8151","37.647798","127.144128","2017-04-17"
"퇴계원역","버스승강장(23070)","경기도","남양주시","교통시설","KT","namyangju_wifi_94","2015-03","경기도 남양주시 비룡로 42","경기도 남양주시 화도읍 마석우리 395","경기도 남양주시청","031-590-8151","37.647655","127.144106","2017-04-17"
"퇴계원초등학교","버스승강장(23067)","경기도","남양주시","교통시설","KT","namyangju_wifi_95","2015-03","경기도 남양주시 경춘로 1949","경기도 남양주시 화도읍 창현리 496-1","경기도 남양주시청","031-590-8151","37.652196","127.142588","2017-04-17"
"사릉역_진건파출소","버스승강장(49374)","경기도","남양주시","교통시설","KT","namyangju_wifi_97","2015-03","경기도 남양주시 마석중앙로 101","경기도 남양주시 화도읍 마석우리 246-2","경기도 남양주시청","031-590-8151","37.651059","127.178072","2017-04-17"
"사릉역_진건파출소","버스승강장(49375)","경기도","남양주시","교통시설","KT","namyangju_wifi_98","2015-03","경기도 남양주시 마석중앙로 116","경기도 남양주시 화도읍 마석우리 92-1","경기도 남양주시청","031-590-8151","37.651045","127.177659","2017-04-17"
"진건읍사무소_진건중학교","버스승강장(23205)","경기도","남양주시","교통시설","KT","namyangju_wifi_99","2015-03","경기도 남양주시 진건우회로 61","경기도 남양주시 진건읍 사능리 606-10","경기도 남양주시청","031-590-8151","37.654788","127.179147","2017-04-17"
"진건초등학교","버스승강장(23899)","경기도","남양주시","교통시설","KT","namyangju_wifi_100","2015-03","경기도 남양주시 진건우회로 60","경기도 남양주시 진건읍 사능리 606-13","경기도 남양주시청","031-590-8151","37.657941","127.178117","2017-04-17"
"한신_세아_현대아파트","버스승강장(23867)","경기도","남양주시","교통시설","KT","namyangju_wifi_101","2015-03","경기도 남양주시 진건오남로 48","경기도 남양주시 진건읍 사능리 645","경기도 남양주시청","031-590-8151","37.660401","127.178448","2017-04-17"
"한신1차_어람초교","버스승강장(23384)","경기도","남양주시","교통시설","KT","namyangju_wifi_103","2015-03","경기도 남양주시 진건오남로 109","경기도 남양주시 진건읍 용정리 755-5","경기도 남양주시청","031-590-8151","37.683055","127.210422","2017-04-17"
