"설치장소명",설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
"평택보건소","2F(구강진료실앞, 프로그램실앞, 임상병리실앞, 휴게실앞), 1F(모자보건소앞, 휴게실앞), B1(상황실 및 교육실내)",경기도,평택시,관공서,public WiFi free,,2015-11,경기도 평택시 평택5로 56,경기도 평택시 비전동 850,경기도 평택시청,031-8024-2441,36.990761,127.103064,2018-02-19
"통복시장",경기도 평택시 통복시장로25번길 10,경기도,평택시,서민·복지시설,public WiFi free,,2015-01,경기도 평택시 통복시장로25번길 10,경기도 평택시 통복동 70-29,경기도 평택시청,031-8024-2441,36.997785,127.076319,2018-02-19
"서정시장",경기도 평택시 서정역로55번길 21,경기도,평택시,서민·복지시설,public WiFi free,,2015-01,경기도 평택시 서정역로55번길 21,경기도 평택시 서정동 317-2,경기도 평택시청,031-8024-2441,37.057598,127.045801,2018-02-19
"국제중앙시장",경기도 평택시 중앙시장로11번길 15-10,경기도,평택시,서민·복지시설,public WiFi free,,2015-01,경기도 평택시 중앙시장로11번길 15-10,경기도 평택시 신장동 317-2,경기도 평택시청,031-8024-2441,37.080647,127.043211,2018-02-19
"안중시장",경기도 평택시 안중읍 안현로서3길 29,경기도,평택시,서민·복지시설,public WiFi free,,2015-01,경기도 평택시 안중읍 안현로서3길 29,경기도 평택시 안중읍 안중리 267-1,경기도 평택시청,031-8024-2441,36.987443,126.919537,2018-02-19
"평택항국제여객터미널","2F(경찰서), 1F(화물대기장, 출국대합실,출국장로비, 출국심사대, 입국대기실,입국대합실, 입국장로비, 출국대기실)",경기도,평택시,교통시설,public WiFi free,,2015-01,경기도 평택시 포승읍 평택항만길 75,경기도 평택시 포승읍 만호리 570-2,경기도 평택시청,031-8024-2441,36.957529,126.837515,2018-02-19
"송북시장",경기도 평택시 탄현로346번길 24,경기도,평택시,서민·복지시설,public WiFi free,,2015-11,경기도 평택시 탄현로346번길 24,경기도 평택시 지산동 745-14,경기도 평택시청,031-8024-2441,37.082067,127.048342,2018-02-19
"한국소리터","2F(로비, 객석조정실, 남자분장대기실, 숙소좌.우측복도),1F(여자분장대기실, 강의실내, 회의실내,대연습실앞, 야외테라스),B1(전시관내, 통신실앞, 문화예술체험실내, 연습실내, 사무실앞)",경기도,평택시,지역문화시설,public WiFi free,,2015-11,경기도 평택시 탄현로346번길 24,경기도 평택시 현덕면 권관리 302-1,경기도 평택시청,031-8024-2441,36.922019,126.913081,2018-02-19
"안중시외버스터미널","1F(대기실 및 휴게실앞, 푸드까페앞)",경기도,평택시,교통시설,public WiFi free,,2015-11,경기도 평택시 안중읍 안현로서9길 14-4,경기도 평택시 안중읍 현화리 838,경기도 평택시청,031-8024-2441,36.977627,126.914575,2018-02-19
"팽성복지센터","3F(소회의실앞),2F(홀중앙, 소강당내, 대강당내),1F(홀중앙)",경기도,평택시,서민·복지시설,public WiFi free,,2015-11,경기도 평택시 팽성읍 팽성남산4길 6,경기도 평택시 팽성읍 남산리 406-21,경기도 평택시청,031-8024-2441,36.958015,127.051149,2018-02-19
