도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,
양구교육도서관,강원도,양구군,공공도서관,월요일,08:00,23:00,08:00,23:00,08:00,23:00,68,92959,25,5278,5,14,강원도 양구군  양구읍 우정로 119번길 30,강원도양구교육지원청,033-482-0284,2901,1260,http://lib.gwe.go.kr/yglib/egovMain.do,38.101864,127.9874258,2018-02-28,
화천어린이도서관,강원도,화천군,공공도서관,매주 월요일,10:00,20:00,10:00,20:00,00:00,00:00,40,12185,10,27,5,14,강원도 화천군 화천읍 상승로1길 9,(재)화천군인재육성재단,033-442-0078,1.169,882.26,http://hclib.or.kr,38.104102,127.702369,2018-02-13,
사내도서관,강원도,화천군,공공도서관,매주 월요일,10:00,22:00,10:00,22:00,00:00,00:00,49,10138,10,10138,5,14,강원도 화천군 사내면 수피령로75,(재)화천군인재육성재단,033-441-7870,1676,650.4,http://hclib.or.kr,38.073416,127.520919,2018-02-13,
화천교육도서관,강원도,화천군,공공도서관,매주 월요일,08:00,23:00,08:00,23:00,00:00,00:00,44,71409,21,4977,5,14,강원도 화천군 화천읍 상승로3길 22,화천교육지원청,033-441-6343,1050,1635,http://lib.gwe.go.kr,38.107539,127.704273,2018-02-13,
비산도서관,대구광역시,서구,공공도서관,"매주 월요일, 공휴일",09:00,20:00,09:00,17:00,00:00,00:00,43,17051,14,371,10,15,대구광역시 서구 달서로 14길 13,,053-663-3721,444,488.92,http://lib.dgs.go.kr/,35.868533,128.573302,2018-02-20,
서구어린이도서관,대구광역시,서구,공공도서관,"매주 월요일, 공휴일",09:00,18:00,09:00,17:00,00:00,00:00,323,42592,2,4809,10,15,대구광역시 서구 문화로 123,,053-663-3712,700,1624,http://lib.dgs.go.kr,35.868533,128.573302,2018-02-20,
내당4동 어린이도서관,대구광역시,서구,작은도서관,"토,일요일, 공휴일",09:00,18:00,00:00,00:00,00:00,00:00,12,7977,0,0,3,7,대구광역시 서구 서대구로3길 46,,053-663-3303,,64.9,,35.858891,128.551749,2018-02-20,
새마을문고 서구지부,대구광역시,서구,작은도서관,"토,일요일, 공휴일",10:00,17:00,00:00,00:00,00:00,00:00,40,5695,0,30,5,7,대구광역시 서구 달서로26길 35-8,,053-554-5163,,125.4,,35.872678,128.575354,2018-02-20,
서구청 작은도서관,대구광역시,서구,작은도서관,"토,일요일, 공휴일",09:00,18:00,00:00,00:00,00:00,00:00,19,6144,0,0,3,14,대구광역시 서구 국채보상로 257(평리동),,053-663-2144,,70,,35.871750,128.559169,2018-02-20,
비산7동 작은도서관,대구광역시,서구,작은도서관,"월,일요일, 공휴일",09:00,18:00,09:00,18:00,00:00,00:00,30,5828,0,0,3,14,대구광역시 서구 서대구로63안길 30-22(비산동),,053-663-2144,,88.29,,35.885911,128.553929,2018-02-20,
내당2.3동 드림도서관,대구광역시,서구,작은도서관,"월, 공휴일",09:00,18:00,09:00,18:00,00:00,00:00,55,6375,0,8,3,15,대구광역시 서구 달서로5길 31-1,,053-521-9100,,179.38,,35.864275,128.568690,2018-02-20,
만평주민도서관,대구광역시,서구,작은도서관,"일요일, 공휴일",10:00,17:00,10:00,17:00,00:00,00:00,20,9138,0,162,3,10,대구광역시 서구 서대구로66길 29-1(비산동),,053-356-0468,,84.24,,35.887176,128.568276,2018-02-20,
마을도서관 햇빛따라,대구광역시,서구,작은도서관,"월,일요일, 공휴일",10:00,19:00,10:00,19:00,00:00,00:00,30,13063,0,51,5,15,대구광역시 서구 북비산로 359(비산동),,070-8821-5234,,173.72,http://happylog.naver.com/seogumun.do,35.879609,128.572733,2018-02-20,
옹달샘 작은도서관,대구광역시,서구,작은도서관,"토,일요일, 공휴일",10:00,18:00,00:00,00:00,00:00,00:00,16,7800,0,0,5,14,대구광역시 서구 달서로15길 7(비산동),,070-8272-7943,,66,,35.869575,128.570343,2018-02-20,
세토 작은도서관,대구광역시,서구,작은도서관,"일요일, 공휴일",10:00,18:00,10:00,18:00,00:00,00:00,14,3500,0,150,3,7,대구광역시 서구 국채보상로 38길 59(평리4동),,053-248-7399,,39.46,,35.864472,128.553323,2018-02-20,
별이난마을도서관,대구광역시,서구,작은도서관,"일요일, 공휴일",10:00,18:00,10:00,18:00,00:00,00:00,39,1500,0,0,3,7,대구광역시 서구 서대구로 11길 38,,053-526-2186,,82.62,,35.862169,128.551897,2018-02-20,
중리롯데 작은도서관,대구광역시,서구,작은도서관,"토,일요일, 공휴일",10:00,17:00,00:00,00:00,00:00,00:00,16,2500,0,0,5,15,"대구광역시 서구 국채보상로 34길 12, 118동 지하1층",,053-522-0548,,85.1,,35.867068,128.547268,2018-02-20,
고창군립도서관,전라북도,고창군,공공도서관,매주토요일,09:00,22:00,00:00,00:00,09:00,22:00,158,60368,8,710,5,14,전라북도 고창군 고창읍 모양성로 11,전라북도 고창군청,063-560-2420,8777,1070,http://lib.gccl.kr,35.4329924,126.7044902,2018-01-31,
